sponsor,,,,,,,
original_title,Palma Ratio,,,,,,
original_indicator_code,,,,,,,
title,Einkommensungleichheit,,,,,,
sdg,10,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Einkommensungleichheit zwischen den 10% Reichsten und den 10% Ärmsten der Gesellschaft,,,,,,
short_indicator_description$en,Income inequality between the 10% with the highest income and the 40% with the lowest income.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Die Palma Rate ist der Anteil aller Einkommen in einem Land, das von den 10% der Bevölkerung mit dem höchsten Einkommen verdienst wird, geteilt durch das Einkommen der 40% der Bevölkerung, die das niedrigste Einkommen hat. Eine Palma Rate von 2 bedeutet, dass die 10% mit dem höchsten Einkommen zweimal so viel verdienen wie die 40% mit dem niedrigsten Einkommen.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,The Palma ratio is the share of all income received by the 10% people with highest disposable income divided by the share of all income received by the 40% people with the lowest disposable income. A Palma ratio of 2 means that the 10% of the population with the highest income in a country earn 2 times as much as the 40% of the population with the lowest income.,,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"0.5,1,1.5,2",,,,,,
target$baseunit,,,,,,,
target$tags,"economic,social",,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,Oberziel der SDGs ist das Ende der weltweiten Armut,,,,,,
target$explanation$en,,,,,,,
target$value,0,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,02/10/2015,,,,,,
scoring$timestamp_data_host,2012,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,The Palma ratio is the share of all income received by the 10% people with highest disposable income divided by the share of all income received by the 40% people with the lowest disposable income.,,,,,,
source$publisher,OECD,,,,,,
source$link,https://stats.oecd.org/Index.aspx?DataSetCode=IDD,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2012,2011,2013,2014,2015,2016,2017
Australia,1.24,,,,,,
Austria,0.96,,,,,,
Belgium,0.92,,,,,,
Canada,1.18,,,,,,
Czech Republic,0.89,,,,,,
Denmark,0.86,,,,,,
Estonia,1.31,,,,,,
Finland,0.9,,,,,,
France,1.16,,,,,,
Germany,1.05,,,,,,
Greece,1.34,,,,,,
Hungary,1.03,,,,,,
Iceland,0.89,,,,,,
Ireland,1.12,,,,,,
Italy,1.26,,,,,,
Luxembourg,1.12,,,,,,
Mexico,2.54,,,,,,
Netherlands,1.01,,,,,,
New Zealand,1.3,,,,,,
Norway,0.86,,,,,,
Poland,1.08,,,,,,
Portugal,1.33,,,,,,
Slovakia,0.83,,,,,,
Slovenia,0.84,,,,,,
Spain,1.29,,,,,,
Sweden,0.96,,,,,,
Switzerland,1.03,,,,,,
Turkey,1.88,,,,,,
UK,1.45,,,,,,
USA,1.76,,,,,,
