sponsor,,,,,,,
original_title,The Eco-Innovation Scoreboard,,,,,,
original_indicator_code,,,,,,,
title,Technologische Innovationen im Klimasektor,,,,,,
sdg,13,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Innovationsentwicklung im Umweltbereich in EU Staaten,,,,,,
short_indicator_description$en,Composite indicator of technological innovation in the environment sector,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Dieser Indikator beruht auf dem Eco-Innovation Scoreboard des Eco-Innovation Observatory, einem EU Projekt. Das Scorebord ist ein Index um die Innovationsleistung in den EU Mitgliedsländern zu bewerten und zu vergleichen. Der Index beruht auf Einzelindikatoren aus fünf Themenbereichen: Ressourcen für Umweltinnovation, Maßnahmen der Umweltinnovation, Ergebnisse im Bereich Umweltinnovation, Ergebnisse im Bezug auf Ressourceneffizienz sowie sozio-ökonomische Ergebnisse. Jeder dieser Bereiche wird mit Punkten bewertet. Detaillierte Informationen sind auf der Webseite des Eco-Innovation Scoreboards verfügbar. http://www.eco-innovation.eu/index.php?option=com_content&view=article&id=2&Itemid=34",,,,,,
long_indicator_description$de$baseunit,Punkte,,,,,,
long_indicator_description$en$text,"The Eco-Innovation Scoreboard is a composite indicator to comprehensively assess and compare eco-innovation performance across the EU-27 and EU-28 Member States. The Eco-Innovation Scoreboard is an index based on indicators in five areas: eco-innovation inputs, eco-innovation activities, eco-innovation outputs, resource efficiency outcomes and socio-economic outcomes. In each of the areas points are awarded for innovative policy and practice. For a detailed description of the indicators included in the Eco-Innovation Scoreboard and the calculation details, <a href=http://www.eco-innovation.eu/index.php?option=com_content&view=article&id=2&Itemid=34>click here</a>.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"150,130,110,90",,,,,,
target$baseunit,,,,,,,
target$tags,,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,"Das Eco-Innovation Scoreboard basiert auf 5 verschiedenen Indikatorgruppen: ökologisch-innovativer Beitrag, ökologisch-innovative Tätigkeiten, ökologisch-innovative Leistungen, Energie-effiziente Ergebnisse und sozio-ökologische Ergebnisse.",,,,,,
target$explanation$en,,,,,,,
target$value,150,,,,,,
target$breakpoints_old,"A) Wertung 1-5,5,4,3,2,1 B) Methode,0,90,110,130,150",,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$timestamp,18/09/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$maintainer,tbd,,,,,,
source,,,,,,,
source$note,"The Eco-Innovation Scoreboard is the first tool to comprehensively assess and compare eco-innovation performance across the EU-27 and EU-28 Member States. The Eco-Innovation Scoreboard is an index based on indicators in five areas: eco-innovation inputs, eco-innovation activities, eco-innovation outputs, resource efficiency outcomes and socio-economic outco",,,,,,
source$publisher,Eco-Innovation observatory,,,,,,
source$link,http://database.eco-innovation.eu/indicators/view/269/1,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Austria,106,,,,,,
Belgium,101,,,,,,
Croatia,57,,,,,,
Czech Republic,71,,,,,,
Denmark,129,,,,,,
Estonia,72,,,,,,
Finland,138,,,,,,
France,108,,,,,,
Germany,132,,,,,,
Greece,66,,,,,,
Hungary,61,,,,,,
Ireland,95,,,,,,
Italy,95,,,,,,
Latvia,52,,,,,,
Lithuania,66,,,,,,
Luxembourg,109,,,,,,
Netherlands,91,,,,,,
Poland,42,,,,,,
Portugal,79,,,,,,
Slovakia,47,,,,,,
Slovenia,74,,,,,,
Spain,110,,,,,,
Sweden,138,,,,,,
UK,122,,,,,,
