original_title,Prevention of illicit financial flows from developing countries
original_indicator_code,
title_German,Vorbeugung illegaler Geldströme aus Entwicklungsländern
sdg,8
short_indicator_description,
short_indicator_description$de,Der Indikator misst die Einhaltung der Empfehlungen der Financial Action Task Force (FATF) zur Risikoprüfung und Berichtsmaßnahmen.
short_indicator_description$en,This indicator measures compliance ratings on Financial Action Task Force (FATF) recommendations regarding customer due diligence and record keeping procedures.
long_indicator_description,
long_indicator_description$en$text,"Individuals from developing countries whose wealth is of an illicit nature often seek to place it outside their own countries not only to avoid scrutiny, but also as a means of diversifying their investment portfolios and spreading risk. For this reason, they are likely to choose countries with stable and predictable financial systems, as well as where the risk of detection is low because of weak anti-money laundering regimes. An examination of major corruption cases over recent years shows that significant amounts of illicit financial flows from developing countries have found their way into OECD countries. The commitments in these conventions have been incorporated into the recommendations of the Financial Action Task Force (FATF), the most comprehensive instrument for tackling money laundering. This indicator measures compliance ratings on FATF recommendations regarding customer due diligence and record keeping procedures (recommendations 5-12). "
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"Menschen aus Entwicklungsländern mit illegal angeeignetem Vermögen suchen oft Wege dieses in anderen Ländern anzulegen. Sie suchen Länder mit stabilen und berechenbaren Finanzsystemen, jene Länder wo Ermittlung schwierig ist, da es nur schwache Anti-Geldwäschegesetze gibt. Untersuchungen zu den größten Korruptionsfällen der letzten Jahre zeigen, dass große Mengen an illegalen Geldsummen aus Entwicklungsländern in OECD-Länder transferiert wurden. Die FATF (Financial Action Task Force) formuliert umfassende Maßnahmen gegen Geldwäsche. Dieser Indikator misst die Einhaltung der Empfehlungen der FATF zur Risikoprüfung und Berichtsmaßnahmen (Empfehlungen 5-12). "
long_indicator_description$de$baseunit,Punkte
target,
target$type,more
target$value,24
target$rating,"24,21,18,15"
target$explanation$de,"Der Optimalwert orientiert sich an der Einstufung des Indikators, nach der 24 Punkte als sehr gut und 15 Punkte als schlecht eingestuft werden. "
target$explanation$en,"The target value is set in line with the indicator construction, which rates 24 points as very good compliance and 15 as bad compliance. "
target$target_reference,http://www.gfintegrity.org/wp-content/uploads/2014/05/OECD-IFF-Responses-2013.pdf
target$tags,economic
target$target,
target$ministerial_responsibility,BMF
target$other_relevant_SDGs,16
scoring,
scoring$timestamp,29/10/2016
scoring$type,global
scoring$timestamp_data_host,2013
source,
source$type,inofficial
source$note,
source$publisher,OECD
source$link,http://www.gfintegrity.org/wp-content/uploads/2014/05/OECD-IFF-Responses-2013.pdf
source$value,OKF
source$maintainer,OKF
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible.
countries,
,2013
Australia,2
Austria,11
Belgium,19
Canada,4
Chile,12
Czech Republic,4
Denmark,4
Estonia,10
Finland,6
France,8
Germany,10
Greece,8
Hungary,20
Iceland,11
Ireland,7
Israel,8
Italy,10
Japan,4
Luxembourg,7
Mexico,12
Netherlands,11
New Zealand,2
Norway,11
Poland,3
Portugal,12
Slovakia,13
Slovenia,13
South Korea,6
Spain,9
Sweden,8
Switzerland,13
Turkey,4
UK,10
USA,13
