sponsor,,,,,,,
original_title,Productivity of artificial land,,,,,,
original_indicator_code,t2020_rd100,,,,,,
title,Produktivität von künstlich angelegter Flächen,,,,,,
sdg,15,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Wirtschaftliche Produktivität gemessen an der Anteil der Fläche die bebaut oder versiegelt ist,,,,,,
short_indicator_description$en,Economic Productivity in relation to the share of a country's surface that is build-up or sealed by streets,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Produktivität künstlich angelegter Fläche wird definiert als das Bruttosozialprodukt eines Landes geteilt durch seine gesamten künstlichen Fläche. Künstliche Fläche besteht aus bebauter Fläche (Gebäude, inklusiver Gewächshäuser) und versiegelter Fläche (Straßen und anderweitig versiegelter Fläche. Die Produktivität künstlich angelegter Fläche gibt an wie effizient Land zur Schaffung wirtschaftlichen Mehrwertes genutzt wird. Zur Berechnung der Produktivität künstlich angelegter Flächen nutzt Eurostat das Bruttoinlandsprodukt in Millionen € in Kaufkraftparität. Diese Messeinheit erlaubt einen Vergleich unter Ländern für ein Jahr. (Quelle: Eurostat)",,,,,,
long_indicator_description$de$baseunit,€/km2,,,,,,
long_indicator_description$en$text,Productivity of artificial land is defined as the gross domestic product (GDP) of a country divided by its total artificial land. Artificial land consists of built-up areas (areas covered with buildings and greenhouses) and non built-up areas (streets and sealed surfaces). Artificial land productivity shows whether built-up and non built-up areas are efficiently used to generate added economic value. For the calculation of artificial land productivity Eurostat uses the GDP in millions of PPS (Purchasing Power Standard). This unit allows to compare countries for the same year. (Source: Eurostat),,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"120,100,80,60",,,,,,
target$baseunit,,,,,,,
target$tags,"economic,ecologic",,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,140,,,,,,
target$breakpoints_old,"A) Wertung 1-5,5,4,3,2,1 B) Methode,60,80,100,120,140",,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,12/10/2015,,,,,,
scoring$timestamp_data_host,2012,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,"Productivity of artificial land is defined as the gross domestic product (GDP) of a country divided by its total artificial land. Artificial land consists of built-up areas (areas covered with buildings and greenhouses) and non built-up areas (streets and sealed surfaces). Artificial land productivity shows whether built-up and non built-up areas are efficiently used to generate added economic value.Data are available for the years 2009 and 2012. For 2009, the EU aggregate provided regards only 23 countries (BG, CY, MT, RO are missing). It is envisaged to conduct a land cover/land use survey every three years. Comparability over time should be treated with caution due to the changes in the total coverage, the amendments introduced in the classification for the 2012 survey and the time that has elapsed since the first phase sample was stratified.For the calculation of artificial land productivity Eurostat uses the GDP in millions of PPS (Purchasing Power Standard). This unit allows to compare countries for the same year. ",,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=0&language=en&pcode=t2020_rd100&tableSelection=1,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2012,2011,2013,2014,2015,2016,2017
Austria,57.5,,,,,,
Belgium,82.7,,,,,,
Bulgaria,34,,,,,,
Cyprus,29.6,,,,,,
Czech Republic,69.5,,,,,,
Denmark,59.1,,,,,,
Estonia,30.8,,,,,,
Finland,30.1,,,,,,
France,57.7,,,,,,
Germany,93.9,,,,,,
Greece,43.6,,,,,,
Hungary,48.6,,,,,,
Ireland,56.2,,,,,,
Italy,66.3,,,,,,
Latvia,32.8,,,,,,
Lithuania,32,,,,,,
Luxembourg,115.5,,,,,,
Malta,89.1,,,,,,
Netherlands,107.7,,,,,,
Poland,53.6,,,,,,
Portugal,36.9,,,,,,
Romania,47.9,,,,,,
Slovakia,66,,,,,,
Slovenia,59.3,,,,,,
Spain,57.1,,,,,,
Sweden,38.8,,,,,,
UK,104.4,,,,,,
