sponsor,,,,,,,
original_title,Recycling rate of municipal waste,,,,,,
original_indicator_code,t2020_rt120,,,,,,
title,Recycling von Haushaltsmüll,,,,,,
sdg,11,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Der Indikator gibt in Prozent an wie viel Haushaltsmüll im jewiligen Land recyclet wird.,,,,,,
short_indicator_description$en,The indicator shows how many percent of municipal waste gets recycled per year in a certain country.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Haushaltsmüll besteht zu einem großen Teil aus Müll von Haushalten, kann aber auch ähnlichen Müll von kleinen Unternehmen und öffentlichen Institutionen beinhalten sowie Müll der nicht von der Kommune gesammelt wird. Diese letzte Komponente variiert von Kommune zu Kommune und von Land zu Land und ist abhängig vom lokalen Abfallmanagmentsystem. Für Gegenden ohne kommunales Abfallmanagementsystem wird die Müllmenge geschätzt. Die Daten beinhalten keinen Müll aus Agrarwirtschaft, Industrie und dem kommunalen Abwassersystem sowie kommunalen Bauabfällen und Schutt.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"Municipal waste consists to a large extent of waste generated by households, but may also include similar wastes generated by small businesses and public institutions and wastes not collected by the municipality; this part of municipal waste may vary from municipality to municipality and from country to country, depending on the local waste management system. For areas not covered by a municipal waste collection scheme the amount of waste generated is estimated. The data do not include waste from agriculture, from industries, from the municipal sewage network and treatment, as well as municipal construction and demolition waste.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"50,40,30,20",,,,,,
target$baseunit,,,,,,,
target$tags,ecologic,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,75,,,,,,
target$breakpoints_old,"A) Methode 1-5,5,4,3,2,1, B) Wertung 20,30,40,50,75",,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,15/10/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,"The recycling rate is the tonnage recycled from municipal waste divided by the total municipal waste arising. Recycling includes material recycling, composting and anaerobic digestion. Municipal waste consists to a large extent of waste generated by households, but may also include similar wastes generated by small businesses and public institutions and collected by the municipality; this latter part of municipal waste may vary from municipality to municipality and from country to country, depending on the local waste management system. This variation in scope across the Member States means that cross-country comparison is problematic. For areas not covered by a municipal waste collection scheme the amount of waste generated is estimated. The Member states report each year the amount recycled and the total municipal waste generated to Eurostat.",,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/tgm/graph.do?tab=graph&plugin=0&language=en&pcode=t2020_rt120&toolbox=type,,,,,,
source$value,inofficial,,,,,,
source$type,,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Austria,57.7,,,,,,
Belgium,55,,,,,,
Croatia,14.9,,,,,,
Czech Republic,24.2,,,,,,
Denmark,44.3,,,,,,
Estonia,17.4,,,,,,
Finland,32.5,,,,,,
France,37.6,,,,,,
Germany,64.5,,,,,,
Greece,19.3,,,,,,
Hungary,26.4,,,,,,
Iceland,44.6,,,,,,
Ireland,36.6,,,,,,
Italy,39.4,,,,,,
Latvia,16.9,,,,,,
Lithuania,27.8,,,,,,
Luxembourg,47.9,,,,,,
Netherlands,49.8,,,,,,
Norway,39.2,,,,,,
Poland,24.2,,,,,,
Portugal,25.8,,,,,,
Slovakia,10.8,,,,,,
Slovenia,42.7,,,,,,
Spain,30,,,,,,
Sweden,49,,,,,,
Switzerland,51,,,,,,
UK,43.5,,,,,,
