sponsor,,,,,,,
original_title,Proportion of seats held by women in national parliaments (%),,,,,,
original_indicator_code,SG.GEN.PARL.ZS,,,,,,
title,Anteil der Frauen in nationalen Parlamenten,,,,,,
sdg,5,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der Frauen in nationalen Parlamenten,,,,,,
short_indicator_description$en,Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,Dieser Indikator misst den Prozentanteil von Frauen in nationalen Parlamenten in Prozent.,,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,This indicator measures the percentage of parliamentary seats in a single or lower chamber held by women.,,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"50,40,30,20",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,50,,,,,,
target$breakpoints_old,"A) Wertung 1-5,5,4,3,2,1 B) Methode,20,30,40,50,100",,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,24/09/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,Women in parliaments are the percentage of parliamentary seats in a single or lower chamber held by women.,,,,,,
source$publisher,World Bank,,,,,,
source$link,http://data.worldbank.org/indicator/SG.GEN.PARL.ZS,,,,,,
source$value,IAEG,,,,,,
source$type,official,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Australia,26,,,,,,
Austria,32.2,,,,,,
Belgium,39.3,,,,,,
Brazil,10,,,,,,
Bulgaria,20,,,,,,
Canada,25.1,,,,,,
Chile,15.8,,,,,,
China,23.4,,,,,,
Croatia,23.8,,,,,,
Cyprus,12.5,,,,,,
Czech Republic,19.5,,,,,,
Denmark,39.1,,,,,,
Estonia,19,,,,,,
Finland,42.5,,,,,,
France,26.2,,,,,,
Germany,36.5,,,,,,
Greece,21,,,,,,
Hungary,10.1,,,,,,
Iceland,39.7,,,,,,
India,11.4,,,,,,
Ireland,15.7,,,,,,
Israel,22.5,,,,,,
Italy,31.4,,,,,,
Japan,8.1,,,,,,
Latvia,18,,,,,,
Lithuania,24.1,,,,,,
Luxembourg,28.3,,,,,,
Malta,14.3,,,,,,
Mexico,37.4,,,,,,
Netherlands,38.7,,,,,,
New Zealand,29.8,,,,,,
Norway,39.6,,,,,,
Poland,24.3,,,,,,
Portugal,31.3,,,,,,
Romania,13.5,,,,,,
Russia,13.6,,,,,,
Serbia,34,,,,,,
Slovakia,18.7,,,,,,
Slovenia,35.6,,,,,,
South Africa,42,,,,,,
South Korea,16.3,,,,,,
Spain,39.7,,,,,,
Sweden,44.7,,,,,,
Switzerland,31,,,,,,
Turkey,14.4,,,,,,
UK,22.6,,,,,,
USA,19.3,,,,,,
