sponsor,,,,,,,
original_title,,,,,,,
original_indicator_code,,,,,,,
title,Wahrscheinlichkeit zwischen 30 und 70 Jahren an einer Krankheit zu sterben,,,,,,
sdg,3,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Wahrscheinlichkeit zwischen 30 und 70 Jahren an einer Krankheit zu sterben,,,,,,
short_indicator_description$en,Probability of mortality between the age of 30 and the age of 70 from a disease,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Mortalitätswahrschenlichkeit berechnet anhand der registrierten Todesdaten, epidemologischen Daten und Krankheitsregistrierung in dem jeweiligen Land. Der Indikator gibt die Wahrscheinlichkeit in Prozent an. Dieser Indikator wurde von dem Sustainable Development Solutions Network vorgeschlagen, um SDG 3 zu messen.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"Probability of mortality is based on death-registration data, epidemiological studies and disease registers of a country. The indicator expresses the mortality in percent. This indicator was suggested by the Sustainable Development Solutions Network to measure SDG3.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"8,16,24,32",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMG,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,8,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,8,16,24,32,40",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,16/09/2015,,,,,,
scoring$timestamp_data_host,2012,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,,,,,,,
source$publisher,WHO,,,,,,
source$link,http://apps.who.int/gho/data/view.main.2485,,,,,,
source$value,SDSN,,,,,,
source$type,official,,,,,,
countries,,,,,,,
,2012,2011,2013,2014,2015,2016,2017
Australia,9,,,,,,
Austria,12,,,,,,
Belgium,12,,,,,,
Brazil,19,,,,,,
Canada,11,,,,,,
Chile,12,,,,,,
China,19,,,,,,
Croatia,18,,,,,,
Czech Republic,17,,,,,,
Denmark,13,,,,,,
Estonia,19,,,,,,
Finland,11,,,,,,
France,11,,,,,,
Germany,12,,,,,,
Greece,13,,,,,,
Hungary,24,,,,,,
Iceland,10,,,,,,
India,26,,,,,,
Ireland,11,,,,,,
Israel,9,,,,,,
Italy,10,,,,,,
Japan,9,,,,,,
Latvia,24,,,,,,
Lithuania,22,,,,,,
Luxembourg,11,,,,,,
Netherlands,12,,,,,,
Norway,11,,,,,,
Poland,20,,,,,,
Portugal,12,,,,,,
Russia,30,,,,,,
Slovakia,19,,,,,,
South Africa,27,,,,,,
South Korea,9,,,,,,
Spain,11,,,,,,
Sweden,10,,,,,,
Switzerland,9,,,,,,
Turkey,18,,,,,,
UK,12,,,,,,
USA,14,,,,,,
