sponsor,,,,,,,
original_title,"Suicide rates, Total, Per 100 000 persons",,,,,,
original_indicator_code,doi: 10.1787/a82f3459-en,,,,,,
title,Suizidrate,,,,,,
sdg,3,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Suizidrate pro 100.000 Einwohner pro Jahr,,,,,,
short_indicator_description$en,Rate of suicides per 100.000 inhabitants per year,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Der Indikator Selbstmordrate ist definiert als Anzahl der Tode, die von der verstorbenen Person bewußt herbeigeführt und ausgeführt wurden im vollen Wissen und in der Erwartung des tödlichen Konsequenz. Die Vergleichbarkeit der Daten zwischen den Ländern wird beeinflusst durch die unterschiedlichen Kriterien der Berichtserstattung beispielsweise im Hinblick darauf, wie die Intention der Selbsttötung bewertet wird, wer die Todesbescheinigung ausfüllt, ob eine forenische Untersuchung stattgefunden hat und inwiefern Datenschutzbestimmungen zu Todesursachen bestehen. Ein Ländervergleich ist daher nur eingeschränkt möglich. Der Indikator gibt die Anzahl der Selbstmordfälle pro 100.000 Personen an.(Quelle: OECD)",,,,,,
long_indicator_description$de$baseunit,Einwohner,,,,,,
long_indicator_description$en$text,"Suicide rates are defined as the number of deaths deliberately initiated and performed by a person in the full knowledge or expectation of its fatal outcome. Comparability of data between countries is affected by a number of reporting criteria, including how a person's intention of killing themselves is ascertained, who is responsible for completing the death certificate, whether a forensic investigation is carried out, and the provisions for confidentiality of the cause of death. Caution is required therefore in interpreting variations across countries. This indicator is measured in terms of deaths per 100 000 persons.(Source: OECD)",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"50,250,400,550",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMG,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,500,,,,,,
target$breakpoints_old,"A) Wertung 1-5,5,4,3,2,1 A) Wertung 1-6,50,250,400,550,700",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,30/10/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,,,,,,,
source$publisher,OECD,,,,,,
source$link,https://data.oecd.org/healthstat/suicide-rates.htm,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Australia,66,,,,,,
Austria,265,,,,,,
Belgium,157,,,,,,
Canada,134,,,,,,
Czech Republic,20,,,,,,
Denmark,123,,,,,,
Finland,88,,,,,,
France,163,,,,,,
Germany,137,,,,,,
Greece,312,,,,,,
Hungary,106,,,,,,
Ireland,70,,,,,,
Italy,60,,,,,,
Japan,4,,,,,,
Luxembourg,123,,,,,,
Netherlands,147,,,,,,
New Zealand,15,,,,,,
Norway,238,,,,,,
Poland,52,,,,,,
Portugal,7,,,,,,
Slovakia,22,,,,,,
South Korea,3,,,,,,
Spain,9,,,,,,
Sweden,581,,,,,,
Switzerland,250,,,,,,
UK,85,,,,,,
USA,26,,,,,,
