sponsor,,,,,,,
original_title,Basel AML Index,,,,,,
original_indicator_code,,,,,,,
title,Geldwäsche und Terrorfinanzierung,,,,,,
sdg,16,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,"Für diesen Indikator wird anhand von 14 Einzelindikatoren aus öffentlichen Quellen wie Korruption, finanzielle Standards, politische Offenlegung und Rechtsstaatlichkeit gemessen wie hoch das Risiko in einem Land zu Geldwäsche und Terrorfinanzierung ist.",,,,,,
short_indicator_description$en,For this indicator the risk of money laundering and terrorist financing of countries based on 14 individual indicators is aggregated into one overall risk score.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Bei diesem Indikator des Basel Institute of Governance wird gemessen wie hoch das Risiko zu Geldwäsche und Terrorfinanzierung ist. Dazu werden 14 Einzelindikatoren aus öffentlich zugänglichen Quellen wie Korruption, finanzielle Standards, politische Offenlegung und Rechtsstaatlichkeit zu einem übergeordneten Risikowert aggregiert. Der Risikowert ist eine ganzheitliche Bewertung mit funktionalen und strukturellen Bestandteilen. Da es keine quantitativen Daten gibt, misst der Indikator nicht die tatsächliche Existenz von Geldwäsche und Terrorfinanzierung sondern gibt das Risikolevel an.",,,,,,
long_indicator_description$de$baseunit,Punkte,,,,,,
long_indicator_description$en$text,"The indicator by the Basel Institute of Governance measures the risk of money laundering and terrorist financing of countries. Therefore a total of 14 indicators based on publicly available sources including corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score. The overall risk score represents a holistic assessment addressing structural as well as functional elements. As there are no quantitative data available, the indicator does not measure the actual existence of money laundering activity or amount of illicit financial money within a country but is designed to indicate the risk level.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"3,4.5,6,7.5",,,,,,
target$baseunit,,,,,,,
target$tags,economic,,,,,,
target$ministerial_responsibility,BMJV,,,,,,
target$explanation$de,wenig Risko (0 Punkte) bis hohes Risiko (10 Punkte),,,,,,
target$explanation$en,,,,,,,
target$value,0,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,3,4.5,6,7.5,9",,,,,,
target$type,less,,,,,,
target$target_reference,https://index2015.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2015.pdf,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,23/11/2015,,,,,,
scoring$timestamp_data_host,2015,,,,,,
scoring$type,global,,,,,,
source,,,,,,,
source$note,"The Basel AML Index measures the risk of money laundering and terrorist financing of countries based on publicly available sources. A total of 14 indicators that deal with AML/CFT regulations, corruption, financial standards, political disclosure and rule of law are aggregated into one overall risk score. By combining these various data sources, the overall risk score represents a holistic assessment addressing structural as well as functional elements in the AML/CFT framework. As there are no quantitative data available, the Basel AML Index does not measure the actual existence of money laundering activity or amount of illicit financial money within a country but is designed to indicate the risk level, i.e. the vulnerabilities of money laundering and terrorist financing within a country. The Basel AML Index ranks countries based on the overall score and provides data that is useful for comparative purposes. However it should be stressed that the primary objective is not to rank countries in comparison to each other. Rather, the Basel AML Index seeks to provide an overall picture of a country’s risk level and to serve as a solid starting point for examining progress over time",,,,,,
source$publisher,Basel Institute on Governance,,,,,,
source$link,https://index2015.baselgovernance.org/sites/index/documents/Basel_AML_Index_Report_2015.pdf,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2015,2011,2012,2013,2014,2016,2017
Australia,4.94,,,,,,
Austria,5.45,,,,,,
Belgium,4.58,,,,,,
Bosnia-Herzegovina,5.64,,,,,,
Brazil,5.95,,,,,,
Bulgaria,3.79,,,,,,
Canada,5.26,,,,,,
Chile,4.02,,,,,,
China,6.05,,,,,,
Croatia,4.13,,,,,,
Czech Republic,4.55,,,,,,
Denmark,4.23,,,,,,
Estonia,3.19,,,,,,
Finland,2.53,,,,,,
France,4.79,,,,,,
Germany,5.48,,,,,,
Greece,5.83,,,,,,
Hungary,4.06,,,,,,
Iceland,4.24,,,,,,
India,5.77,,,,,,
Ireland,4.27,,,,,,
Israel,4.92,,,,,,
Italy,5.23,,,,,,
Japan,5.8,,,,,,
Latvia,4.98,,,,,,
Lithuania,3.67,,,,,,
Luxembourg,5.93,,,,,,
Macedonia,4.5,,,,,,
Malta,4.03,,,,,,
Mexico,5.24,,,,,,
Netherlands,5.02,,,,,,
New Zealand,3.78,,,,,,
Norway,4.6,,,,,,
Poland,3.99,,,,,,
Portugal,4.12,,,,,,
Romania,4.58,,,,,,
Russia,6.26,,,,,,
Serbia,5.2,,,,,,
Slovakia,4.66,,,,,,
Slovenia,3.41,,,,,,
South Africa,4.97,,,,,,
South Korea,5.2,,,,,,
Spain,5.02,,,,,,
Sweden,3.99,,,,,,
Switzerland,5.51,,,,,,
Turkey,5.93,,,,,,
UK,4.68,,,,,,
USA,5.18,,,,,,
