sponsor,,,,,,,
original_title,,,,,,,
original_indicator_code,,,,,,,
title,Anzahl Migranten aus nicht DAC-Ländern aus dem vergangenen Jahr,,,,,,
sdg,10,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der Migranten aus Entwicklungsländern an der Gesamtbevölkerung,,,,,,
short_indicator_description$en,Share of migrants from developing countries in overall population,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Offenheit der OECD Länder gegenüber Migranten ermöglicht den Migranten aus sogenannten Entwicklungsländern höhere Einkommen zu verdienen und teilweise nach Hause zu schicken, eine Ausbildung zu erhalten und mit mehr Fähigkeiten und Kapital nach hause zurückzukehren. Der Migrationsindikator wurde vom Center for Global Development (CGD) im Rahmen des Commitment to Development Index (CDI) entwickelt. Er misst die Zuwanderung von Migranten aus sogenannten Entwicklungsländern im Verhältnis zur Gesamtbevölkerung eines Landes. Die Daten stammen von nationalen Migrationsbehörden, die an die OECD berichten und berücksichtigt nur sehr bedingt illegale Migration. Die Zuwanderung von Migranten aus ärmeren Ländern wird höher bewertet als die Zuwanderung aus Ländern mit höherem durchschnittlichen Einkommen. Weitere Informationen zu diesem Indikator finden sich im CDI Technical Paper.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"Openness of OECD countries to migrants creates opportunities for them to earn more, send home money, get education, and return with new skills and capital. This indicator has been developed by the Center for Global Development (CGD) in the context of the Commitment to Development Index (CDI). It measures the gross inflow of migrants from developing countries per year as a share of receiving country population. Figures come from immigration agencies that report to the OECD. These figures miss most likely illegal migrants. Immigration from poorer countries is rewarded more than immigration from countries with higher average income. For more details on this indicator please consult the CDI Technical Paper.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"0.7,0.5,0.3,0.1",,,,,,
target$baseunit,,,,,,,
target$tags,"social,economic",,,,,,
target$ministerial_responsibility,BMI,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,1,,,,,,
target$type,more,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,18/09/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,pcd,,,,,,
source,,,,,,,
source$note,"Gross inflow of migrants from developing countries per year as a share of receiving country population. Figures come from immigration agencies and most likely miss illegal migrants. Immigration from poorer countries is rewarded more. Openness to migrants creates opportunities for them to earn more, send home money, get education, and return with new skills and capital.",,,,,,
source$publisher,"Commitment to Development Index, Center for Global Development ",,,,,,
source$link,http://www.cgdev.org/initiative/commitment-development-index/index,,,,,,
source$value,CDI,,,,,,
source$type,Inofficial,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Australia,0.31,,,,,,
Austria,0.27,,,,,,
Belgium,0.23,,,,,,
Canada,0.29,,,,,,
Czech Republic,0.05,,,,,,
Denmark,0.15,,,,,,
Finland,0.08,,,,,,
France,0.11,,,,,,
Germany,0.24,,,,,,
Greece,0.08,,,,,,
Hungary,0.03,,,,,,
Ireland,0.16,,,,,,
Italy,0.18,,,,,,
Japan,0.07,,,,,,
Luxembourg,0.29,,,,,,
Netherlands,0.15,,,,,,
New Zealand,0.32,,,,,,
Norway,0.37,,,,,,
Poland,0.04,,,,,,
Portugal,0.08,,,,,,
Slovakia,0.04,,,,,,
South Korea,0.26,,,,,,
Spain,0.27,,,,,,
Sweden,0.26,,,,,,
Switzerland,0.22,,,,,,
UK,0.24,,,,,,
USA,0.14,,,,,,
