sponsor,,,,,,,
original_title,People at risk of poverty or social exclusion,,,,,,
original_indicator_code,t2020_50,,,,,,
title,Einkommensarmut,,,,,,
sdg,1,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,"Anteil der Bevölkerung, die im nationalen Vergleich nach sozialen Transferleistungen über weniger als 60% des mittleren verfügbaren Einkommens haben.",,,,,,
short_indicator_description$en,"Share of population with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers).",,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,Einkommensarmut ist die Summe von Personen die dem Armutsrisiko ausgesetzt oder erheblich benachteiligt ist oder in Haushalten mit geringer Arbeitsstärke lebt. Armutsrisiko heißt hierbei ein verfügbares Einkommen nach allen Abzügen und zusätzlichen Einkünften aus Sozialmaßnahmen von 60% des nationalen Mittelwertes. Dieser Indikator ist Teil der Europe 2020 Strategie.,,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"This indicator corresponds to the sum of persons who are at risk of poverty or severely materially deprived or living in households with very low work intensity. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Social transfers are benefits provided by national or local governments, including benefits relating to education, housing,pensions or unemployment. The indicator is part of the Europe 2020 strategy which aims to promote social inclusion, in particular through the reduction of poverty, by aiming to lift at least 20 million people out of the risk of poverty and social exclusion.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"10,20,30,40",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,10,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,10,20,30,40,100",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,29/10/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,"The Europe 2020 strategy promotes social inclusion, in particular through the reduction of poverty, by aiming to lift at least 20 million people out of the risk of poverty and social exclusion. This indicator corresponds to the sum of persons who are: at risk of poverty or severely materially deprived or living in households with very low work intensity. Persons are only counted once even if they are present in several sub-indicators. At risk-of-poverty are persons with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers). Material deprivation covers indicators relating to economic strain and durables. Severely materially deprived persons have living conditions severely constrained by a lack of resources, they experience at least 4 out of 9 following deprivations items: cannot afford i) to pay rent or utility bills, ii) keep home adequately warm, iii) face unexpected expenses, iv) eat meat, fish or a protein equivalent every second day, v) a week holiday away from home, vi) a car, vii) a washing machine, viii) a colour TV, or ix) a telephone. People living in households with very low work intensity are those aged 0-59 living in households where the adults (aged 18-59) work less than 20% of their total work potential during the past year.",,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=t2020_50,,,,,,
source$value,Europe2020,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Austria,19.2,,,,,,
Belgium,21.2,,,,,,
Bulgaria,40.1,,,,,,
Croatia,29.3,,,,,,
Cyprus,27.4,,,,,,
Czech Republic,14.8,,,,,,
Denmark,17.8,,,,,,
Estonia,23.5,,,,,,
Finland,17.3,,,,,,
Former Yugoslav Republic of Macedonia,48.1,,,,,,
France,18.6,,,,,,
Germany,20.6,,,,,,
Greece,36,,,,,,
Hungary,31.1,,,,,,
Iceland,13,,,,,,
Ireland,29.5,,,,,,
Italy,28.1,,,,,,
Latvia,32.7,,,,,,
Lithuania,27.3,,,,,,
Luxembourg,19,,,,,,
Malta,23.8,,,,,,
Netherlands,16.5,,,,,,
Norway,13.5,,,,,,
Poland,24.7,,,,,,
Portugal,27.5,,,,,,
Romania,40.2,,,,,,
Serbia,43,,,,,,
Slovakia,18.4,,,,,,
Slovenia,20.4,,,,,,
Spain,29.2,,,,,,
Sweden,16.9,,,,,,
Switzerland,16.3,,,,,,
Turkey,72.4,,,,,,
UK,24.1,,,,,,
