sponsor,,,,,,,
original_title,Severe material deprivation rate,,,,,,
original_indicator_code,ilc_mddd11,,,,,,
title,Materielle Armut,,,,,,
sdg,1,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der Gesamtbevölkerung die unter erheblicher materieller Armut leidet,,,,,,
short_indicator_description$en,Share of total population suffering from severe material deprivation,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Dieser Indikator ist einer der von der EU festgelegten Indikatoren für Armut und soziale Exklusion in der Europe 2020 Strategie. Die Daten wurden durch eine Umfrage von der EU erhoben und nutzen 2008 als Basisjahr. In der EU Definition wird von materieller Armut gesprochen, wenn eines der vier Kriterien vorliegt: Personen können ihr Rechnungen für Miete, Strom, Heizung und Wasser nicht zahlen, Personen können unerwartete Ausgaben nicht tragen, Personen können nicht wenigstens jeden zweiten Tag Fleisch, Fisch oder andere proteinreiche Nahrung essen, Personen können sich folgende Dinge nicht leisten: einen einwöchigen Urlaub, ein Auto, einen Farbfernseher oder ein Telefon.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"This indicator is one of the indicators agreed by the EU to measure poverty and social exclusion. The data is collected in surveys using the baseline year 2008. Material deprivation covers issues relating to economic strain, durables and housing and environment of the dwellings. Severely materially deprived persons have living conditions greatly constrained by a lack of resources and cannot afford at least four of the following: to pay their rent or utility bills, to keep their home warm, to pay unexpected expenses, to eat meat, fish or other protein-rich nutrition every second day, a week holiday away from home, to own a car, a colour TV or a telephone.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"3,6,9,12",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,3,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,3,6,9,12,75",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,29/10/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,,,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/data/database,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Austria,4,,,,,,
Belgium,5.9,,,,,,
Bulgaria,33.1,,,,,,
Croatia,13.9,,,,,,
Cyprus,15.3,,,,,,
Czech Republic,6.7,,,,,,
Denmark,3.2,,,,,,
Estonia,6.2,,,,,,
Finland,2.8,,,,,,
France,4.8,,,,,,
Germany,5,,,,,,
Greece,21.5,,,,,,
Hungary,23.9,,,,,,
Iceland,1.9,,,,,,
Ireland,9.9,,,,,,
Italy,11.5,,,,,,
Latvia,19.2,,,,,,
Lithuania,13.6,,,,,,
Luxembourg,1.4,,,,,,
Macedonia,37.7,,,,,,
Malta,10.2,,,,,,
Netherlands,3.2,,,,,,
Norway,1.2,,,,,,
Poland,10.4,,,,,,
Portugal,10.6,,,,,,
Romania,26.3,,,,,,
Serbia,26.9,,,,,,
Slovakia,9.9,,,,,,
Slovenia,6.6,,,,,,
Spain,7.1,,,,,,
Sweden,0.7,,,,,,
Switzerland,0.7,,,,,,
Turkey,67.5,,,,,,
UK,8.3,,,,,,
