sponsor,,,,,,,
original_title,Public procurement,,,,,,
original_indicator_code,,,,,,,
title,Qualität der öffentlichen Auftragsvergabe,,,,,,
sdg,16,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Der Indikator bewertet die Qualität der öffentlichen Auftragsvergabe anhand eines Punktesystems. Er wurde von der EU Kommission übernommen.,,,,,,
short_indicator_description$en,The indicator assesses the quality of public procurement based on points awarded for several aspects of procurement. The indicator is adopted from the EU Commission.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Jedes Jahr  geben über 250000 öffentliche Behörden in der EU etwa 18% des BIP für den Einkauf von Dienstleistungen und Ausrüstung aus. Um eine für alle Firmen faire Auftragsvergabe sicherzustellen hat die EU Minimumanforderungen für die öffentliche Auftragsvergabe festgelegt. Diese Anforderungen sind in nationale Gesetze übertragen worden und betreffen Aufträge, die einen bestimmten Geldwert übersteigen. Für Aufträge unter diesem Geldwert gelten nationale Gesetze, die jedoch auch die Prinzipien der EU Gesetze respektieren müssen. Der hier verwendete Indikator basiert auf einer offiziellen Bewertung der öffentlichen Auftragsvergabe aller EU Mitglieder durch die Europäische Kommission. Er umfasst 6 Unterindikatoren: a) Anteil der öffentlichen Aufträge mit nur einem Anbieter, b) Anzahl der öffentlichen Aufträge ohne öffentliche Ausschreibung, c) Anzahl der Aufträge mit mehr als einem staatlichen Auftraggeber, d) Anzahl der Aufträge, die nur auf der Basis des geringsten Preises vergeben wurden, e) Dauer eines Vergabeprozesses und f) Qualität der Information in öffentlichen Ausschreibungen. Wie alle Indikatoren vereinfachen diese Teilindikatoren die Realität. Sie werden beeinflusst durch länderspezifische Faktoren wie beispielsweise die Zusammensetzung der öffentlichen Auftragsvergabe, die Struktur der Wirtschaft und Beziehungen zwischen unterschiedlichen Vergabeoptionen, die hier nicht berücksichtigt werden können. Darüber hinaus werden einige Aspekte öffentlicher Auftragsvergabe ausgelassen oder nur teilweise abgedeckt wie zum Beispiel Korruption, administrativer Aufwand und Professionalität. Der Indikator stellt daher zwar sinnvolle Informationen bereit, bietet aber nur ein unvollständiges Bild der öffentlichen Auftragsvergabe in Europa.",,,,,,
long_indicator_description$de$baseunit,Punkte,,,,,,
long_indicator_description$en$text,"Every year, over 250 000 public authorities in the EU spend around 18% of GDP on the purchase of services, works and supplies. To create a level playing field for all businesses across Europe, EU law sets out minimum harmonised public procurement rules. These rules organise the way public authorities and certain public utility operators purchase goods, works and services. They are transposed into national legislation and apply to tenders whose monetary value exceeds a certain amount. For tenders of lower value, national rules apply. Nevertheless, these national rules also have to respect the general principles of EU law. This indicator is based on an official assessment of public procurement in all EU member states by the European Commission. It includes the following sub-indicators: a) The proportion of contracts awarded with only one bidder, b) the proportion of contracts awarded without a call for tender, c) the proportion of contracts with more than one public buyer, d) the proportion of contracts awarded only on the basis of the lowest price, e) the speed of public procurement processes and f) the quality of reporting by public buyers. Like all indicators, however, these indicators simplify reality. They are affected by country-specific factors such as the composition of procurement, the structure of the economies concerned, and the relationships between different tendering options, none of which are taken into account. Also, some aspects of public procurement are omitted entirely or covered only indirectly - for instance corruption, administrative burden and professionalism. Thus, although the Scoreboard provides very useful information, it gives only a partial view of EU countries' public procurement performance.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"1,2,3,4,5",,,,,,
target$baseunit,,,,,,,
target$tags,economic,,,,,,
target$ministerial_responsibility,BMWi,,,,,,
target$explanation$de,Bewertung beruht auf dem Single Market Scoreboard der Europäischen Kommission und den EU Richtlinien für öffentliche Vergabe. Bei einer Einhaltung der EU Richtlinien in über 90% der Fälle wird ein Land mit 1 bewertet. Ein Land mit einer Einhaltung der Vorgaben in 80 bis 90% der öffentlichen Auftragsvergabe wird mit 1 bewertet. Wenn die EU Vorgaben in weniger als 80% der Vergabefälle eingehalten werden ist die Bewertung 5.,,,,,,
target$explanation$en,,,,,,,
target$value,5,,,,,,
target$type,less,,,,,,
target$target_reference,http://ec.europa.eu/growth/single-market/public-procurement/strategy/index_en.htm,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,10/11/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
