original_title,Transparency of Weapons Exports
original_indicator_code,
title_German,Transparenz der Waffenexporte
sdg,16
short_indicator_description,
short_indicator_description$de,"Anteil der für Waffenexporte relevanten Informationen, die öffentlich zugänglich sind"
short_indicator_description$en,Share of information relevant for weapons' exports that are publicly available
long_indicator_description,
long_indicator_description$en$text,"Transparency on the exports of weapons is a necessary condition for a public debate on weapons exports. This indicator measures how much information on weapons' exports is publicly available. The data is derived from the Saferworld Transparency Index, which lists 151 areas of information relevant for weapons' exports. Each EU country is assessed as to whether or not data on each subindicator is provided. The data is collected by Saferworld on an annual basis. In consultation with Saferworld, the 151 subindicators have been given different weights (0,1,2 and 5) depending on how important they are for sustainable development policies. Luxembourg gets a value of 100% because they do not export weapons."
long_indicator_description$en$baseunit,%
long_indicator_description$de$text,"Die weitgehende Transparenz der Waffenexporte ist eine Voraussetzung für eine öffentliche Diskussion um Waffenexporte. Die Werte geben an, inwiefern ein Land relevante Informationen zu Rüstungshandel bereit stellt. Die Daten stammen aus dem Saferworld Transparency Index, der 151 Datenfelder enhält, von denen jedes Feld eine Art von Information abbildet, die für den Waffenhandel relevant ist. Die Daten werden von Saferworld jährlich gesammelt. Die Open Knowledge Foundation hat in Absprache mit Saferworld diese 151 Datenfelder mit folgenden Werten gewichtet: 0,1,2 und 5. Die Gewichtung stellt dar, wie relevant diese Informationen aus der Perspektive entwicklungsfreundlicher Politik sind. Luxemburg hat 100 % Gesamtwertung, da es keine Waffen exportiert."
long_indicator_description$de$baseunit,%
target,
target$type,more
target$value,100
target$rating,"100,80,60,40"
target$explanation$de,"Maximale Transparenz über Waffenexporte sollte angestrebt werden, damit eine öffentliche Diskussion möglich wird. "
target$explanation$en,"Maximum transparency on weapons exports should be achieved, to enable public discussions on the issue. "
target$target_reference,
target$tags,economic
target$target,
target$ministerial_responsibility,BMWi
target$other_relevant_SDGs,
scoring,
scoring$timestamp,06/12/2016
scoring$type,international
scoring$timestamp_data_host,2013
source,
source$type,inofficial
source$note,"This database lists 151 ‘minimum elements for effective reporting’, and then sets out for each EU Member State how many and which of those elements they report against. It identifies how many States report on each element, and allows users to quickly compare the quality of reporting across the EU."
source$publisher,Saferworld
source$link,http://www.saferworld.org.uk/eureporting/
source$value,OKF
source$maintainer,OKF
source$license,Saferworld welcomes and encourages the use and dissemination of the material included in our publications
countries,
,2013
Austria,0.80
Belgium,25.80
Czech Republic,59.50
Denmark,20.40
Finland,33.50
France,26.70
Germany,53.90
Greece,0.00
Hungary,19.10
Ireland,24.80
Italy,25.70
Luxembourg,100.00
NL,30.00
Poland,25.80
Portugal,22.60
Slovakia,26.90
Spain,63.10
Sweden,53.30
UK,44.00
