sponsor,,,,,,,
original_title,Unemployment rate - annual data,,,,,,
original_indicator_code,tipsun20,,,,,,
title,Arbeitslosenrate,,,,,,
sdg,8,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der Arbeitslosen an der arbeitsfähigen Bevölkerung,,,,,,
short_indicator_description$en,Share of unemployed as percentage of total labour force,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Die Arbeitslosenquote bezeichnet die Anzahl der Arbeitslosen als Prozentsatz der Erwerbsbevölkerung basierend auf der Definition der Internationalen Arbeitsorganisation (ILO). Die Erwerbsbevölkerung setzt sich aus Beschäftigten und Arbeitslosen zusammen. Zu den Arbeitslosen zählen Personen im Alter zwischen 15 und 74 Jahren, die in der Berichtswoche ohne Arbeit waren, für eine Arbeit sofort verfügbar waren und in den vergangenen vier Wochen aktiv auf Arbeitssuche waren oder eine Arbeit gefunden hatten, die sie innerhalb der nächsten drei Monate aufnehmen würden.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,The unemployment rate is the number of unemployed persons as a percentage of the labour force based on International Labour Office (ILO) definition. The labour force is the total number of people employed and unemployed. Unemployed persons comprise persons aged 15 to 74 who: - are without work during the reference week; - are available to start work within the next two weeks; - and have been actively seeking work in the past four weeks or had already found a job to start within the next three months.,,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"5,10,15,20",,,,,,
target$baseunit,,,,,,,
target$tags,"social,economic",,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,Die Bewertung orientiert sich an dem best performer (5%) und den worst performer (26%),,,,,,
target$explanation$en,,,,,,,
target$value,5,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,30/10/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,The unemployment rate is the number of unemployed persons as a percentage of the labour force based on International Labour Office (ILO) definition. The labour force is the total number of people employed and unemployed. Unemployed persons comprise persons aged 15 to 74 who: - are without work during the reference week; - are available to start work within the next two weeks; - and have been actively seeking work in the past four weeks or had already found a job to start within the next three months. Unit: rate,,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tipsun20,,,,,,
source$value,IAEG,,,,,,
source$type,official,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Austria,5.6,,,,,,
Belgium,8.5,,,,,,
Bulgaria,11.4,,,,,,
Croatia,17.3,,,,,,
Cyprus,16.1,,,,,,
Czech Republic,6.1,,,,,,
Denmark,6.6,,,,,,
Estonia,7.4,,,,,,
Finland,8.7,,,,,,
France,10.3,,,,,,
Germany,5,,,,,,
Greece,26.5,,,,,,
Hungary,7.7,,,,,,
Ireland,11.3,,,,,,
Italy,12.7,,,,,,
Latvia,10.8,,,,,,
Lithuania,10.7,,,,,,
Luxembourg,6,,,,,,
Malta,5.9,,,,,,
Netherlands,7.4,,,,,,
Poland,9,,,,,,
Portugal,14.1,,,,,,
Romania,6.8,,,,,,
Slovakia,13.2,,,,,,
Slovenia,9.7,,,,,,
Spain,24.5,,,,,,
Sweden,7.9,,,,,,
UK,6.1,,,,,,
