sponsor,,,,,,,
original_title,"Women who have experienced physical and/or sexual violence by a current or previous partner, or by any other person since the age of 15, by EU Member State (%)",,,,,,
original_indicator_code,,,,,,,
title,Physische oder sexuelle Gewalt gegen Frauen,,,,,,
sdg,5,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,"Anteil der Frauen über 18, die seit ihrem 15 Lebensjahr physischer oder sexueller Gewalt ausgesetzt waren",,,,,,
short_indicator_description$en,Share of women over 18 who have experienced physical or sexual violence since the age of 15,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Der Indikator misst den Anteil der Frauen über 18 Jahren, die seit ihrem 15 Lebensjahr physischer oder sexueller Gewalt ausgeliefert waren. Die Daten beruhen auf der Umfrage 'Gewalt gegen Frauen', die im Jahr 2012 von der EU Agency for Fundamental Rights durchgeführt wurde. Die Umfrage umfasste persönliche Interviews mit 42.000 Frauen in der EU und wurde von März bis September 2012 durchgeführt. Die befragten Frauen wurden auf der Basis einer Zufallsstichprobe ausgewählt. The results are representative of the experiences and opinions of 18-74-year-old women living in the EU.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"The indicator measure the share of women above 18 who have experienced sexual or physical violence since the age of 15. The FRA survey on violence against women is based on face-to-face interviews with 42,000 women across the EU. The survey was carried out between March and September 2012 and presents the most comprehensive survey worldwide on women’s experiences of violence. The respondents were selected based on random sampling. The results are representative of the experiences and opinions of 18-74-year-old women living in the EU.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"10,20,30,40",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMFSFJ,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,10,,,,,,
target$breakpoints_old,"A) Wertung 1-5,1,2,3,4,5 B) Methode,10,20,30,40,100",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,28/09/2015,,,,,,
scoring$timestamp_data_host,2012,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,,,,,,,
source$publisher,European Union Agency for Fundamental Rights,,,,,,
source$link,http://fra.europa.eu/sites/default/files/fra-2014-vaw-survey-at-a-glance-oct14_en.pdf,,,,,,
source$value,IAEG,,,,,,
source$type,tbd,,,,,,
countries,,,,,,,
,2012,2011,2013,2014,2015,2016,2017
Austria,20,,,,,,
Belgium,36,,,,,,
Bulgaria,28,,,,,,
Croatia,21,,,,,,
Cyprus,22,,,,,,
Czech Republic,32,,,,,,
Denmark,52,,,,,,
Estland,33,,,,,,
Finland,47,,,,,,
France,44,,,,,,
Germany,35,,,,,,
Greece,25,,,,,,
Hungary,28,,,,,,
Ireland,26,,,,,,
Italy,27,,,,,,
Latvia,39,,,,,,
Lithuania,31,,,,,,
Luxembourg,38,,,,,,
Malta,22,,,,,,
Netherlands,45,,,,,,
Poland,19,,,,,,
Portugal,24,,,,,,
Romania,30,,,,,,
Slovakia,34,,,,,,
Slovenia,22,,,,,,
Spain,22,,,,,,
Sweden,46,,,,,,
UK,44,,,,,,
