sponsor,,,,,,,
original_title,Early School Leavers,,,,,,
original_indicator_code,t2020_40,,,,,,
title,Schulabbrecher,,,,,,
sdg,4,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Der Indikator misst den Anteil der Schulabbrecher (18 - 24 Jahre) in Prozent.,,,,,,
short_indicator_description$en,The indicator measures the percentage of the population aged 18-24 leaving school early.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Dieser Indikator beschreibt den Anteil der 18-24 Jährigen, die wenigstens die Mittelstufe abgeschlossen haben und die zum Zeitpunkt der Befragung keine Schule oder Ausbildung besuchten. Die Definition von “Mittelstufe” folgt dem International Standard Classification of Education (ISCED). Die Daten wurden im Rahmen der EU Labour Force Befragung erhoben.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,The indicator is defined as the percentage of the population aged 18-24 with at most lower secondary education and who were not in further education or training during the last four weeks preceding the survey. The definition of “lower secondary education” follows the International Standard Classification of Education (ISCED). The indicator is based on the EU Labor Force Survey.,,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"4,8,12,16",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMBF,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,0,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,02/10/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,"Early leavers from education and training: The indicator is defined as the percentage of the population aged 18-24 with at most lower secondary education (ISCED levels 0, 1, 2 or 3 c short) and who were not in further education or training during the last four weeks preceding the survey.",,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&pcode=t2020_40&language=en,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Austria,7.3,,,,,,
Belgium,11,,,,,,
Bulgaria,12.5,,,,,,
Croatia,3.7,,,,,,
Cyprus,9.1,,,,,,
Czech Republic,5.4,,,,,,
Denmark,8,,,,,,
EU Average,10.4,,,,,,
Estonia,9.7,,,,,,
Finland,9.3,,,,,,
France,9.7,,,,,,
Germany,9.9,,,,,,
Greece,10.1,,,,,,
Hungary,11.8,,,,,,
Ireland,8.4,,,,,,
Italy,17,,,,,,
Latvia,9.8,,,,,,
Lithuania,6.3,,,,,,
Luxembourg,6.1,,,,,,
Malta,20.8,,,,,,
Netherlands,9.2,,,,,,
Poland,5.6,,,,,,
Portugal,19.2,,,,,,
Romania,17.3,,,,,,
Slovakia,6.4,,,,,,
Slovenia,3.9,,,,,,
Spain,23,,,,,,
Sweden,7.1,,,,,,
UK,12.4,,,,,,
