original_title,Share of renewable energy in energy consumption,,,
original_indicator_code,nrg_ind_335a,,,
title_German,Anteil erneuerbarer Energien am Energieverbrauch,,,
sdg,7,,,
short_indicator_description,,,,
short_indicator_description$de,Anteil erneuerbarer Energien anhand des kompletten Energieverbrauchs eines Landes.,,,
short_indicator_description$en,Share of renewable energy sources in the total energy consumption of a country.,,,
long_indicator_description,,,,
long_indicator_description$en$text,"To develop sustainable, we need to rely more on renewable energy sources and less on fossil fuels. This indicator is part of the sustainable development framework of the EU and is calculated on the basis of data covered by Regulation (EC) No 1099/2008 on energy statistics. It measures the share of energy consumption from renewable energy sources at national level. The indicator includes energy consumption for electricity, for transport and for heating and cooling. This indicator is part of the 2016 draft of the German Sustainability Strategy. ",,,
long_indicator_description$en$baseunit,%,,,
long_indicator_description$de$text,"Um nachhaltige Entwicklung zu erreichen, müssen wir den Anteil fossiler Energieträger reduzieren und uns mehr auf erneuerbare Energien verlassen. Dieser Indikator ist ein offizieller Indikator für nachhaltige Entwicklung der EU und Teil des Entwurfs zur deutschen Nachhaltigkeitsstrategie (Mai 2016). Er misst den Anteil des nationalen Energieverbrauchs, der aus erneuerbaren Energien gedeckt wird. Der Indikator beinhaltet den Energieverbrauch für Stromerzeugung, für Transport sowie für Heizen und Kühlen. ",,,
long_indicator_description$de$baseunit,%,,,
target,,,,
target$type,more,,,
target$value,50,,,
target$rating,"50, 37.5, 25, 12.5",,,
target$explanation$de,"In der deutschen Nachhaltigkeitsstrategie wird für 2050 die Zielmarke von 60% angegeben, 30% für 2030,  jedoch nur 18% bis 2020. Damit werden die notwendigen drastischen Veränderungen im Energieverbrauch und im Energiemix weit in die Zukunft verschoben. Vor dem Hintergrund der “no business as usual” Maxime wird für 2030 für Deutschland und andere industrialisierte Länder die Zielmarke von 50% vorgeschlagen.",,,
target$explanation$en,"The German Sustainability Strategy aims for a share of 60% renewable energy by 2050, of 30% by 2030 and only of 18% by 2020. With these targets, solving today's problems is posponed to the future. Based on the 'no buisness as usual' maxim, we suggest a target of 50% by 2030. ",,,"Ziel von 30 von der Bundesregierung bis 2030 vorgeschlagen, 60% bis 2050. "
target$target_reference,https://www.bundesregierung.de/Content/DE/StatischeSeiten/Breg/Nachhaltigkeit/0-Buehne/2016-05-31-download-nachhaltigkeitsstrategie-entwurf.pdf?__blob=publicationFile&,,,
target$tags,ecologic,,,
target$target,7.2,,,
target$ministerial_responsibility,BMUB,,,
target$other_relevant_SDGs,11,,,
scoring,,,,
scoring$timestamp,06/12/2016,,,
scoring$type,international,,,
scoring$timestamp_data_host,2013,,,
source,,,,
source$type,official,,,
source$note,"This indicator is calculated on the basis of data covered by Regulation (EC) No 1099/2008 on energy statistics. Reporting countries provide additional information on renewable source not covered by the Regulation. This indicator may be considered an estimate of the indicator described in Directive 2009/28/EC because statistical systems in some countries are not yet fully developed to meet all the requirements of this Directive. More information about the renewable energy shares calculation methodology can be found on the <a href=""http //epp.eurostat.ec.europa.eu/portal/page/portal/energy/other_documents"" target=""_blank"">Eurostat website.</a> More information on renewable energies can be found on the <a href=""http //ec.europa.eu/energy/renewables"" target=""_blank"">DG Energy website</a>; http //ec.europa.eu/geninfo/legal_notices_en.htm, ",,,
source$publisher,European Environment Agency,,,
source$link,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=t2020_31,,,
source$value,SDSN,,,
source$maintainer,OKF,,,
source$license,"Eurostat has a policy of encouraging free re-use of its data, both for non-commercial and commercial purposes.",,,
countries,,,,
,2014,2013,2012,
Belgium,8.00,7.50,7.20,
Bulgaria,18.00,19.00,16.00,
Czech Republic,13.40,12.40,11.40,
Denmark,29.20,27.30,25.60,
Germany,13.80,12.40,12.10,
Estonia,26.50,25.60,25.80,
Ireland,8.60,7.70,7.10,
Greece,15.30,15.00,13.40,
Spain,16.20,15.30,14.30,
France,14.30,14.00,13.40,
Croatia,27.90,28.10,26.80,
Italy,17.10,16.70,15.40,
Cyprus,9.00,8.10,6.80,
Latvia,38.70,37.10,35.70,
Lithuania,23.90,23.00,21.70,
Luxembourg,4.50,3.60,3.10,
Hungary,9.50,9.50,9.60,
Malta,4.70,3.70,2.90,
Netherlands,5.50,4.80,4.70,
Austria,33.10,32.30,31.60,
Poland,11.40,11.30,10.90,
Portugal,27.00,25.70,25.00,
Romania,24.90,23.90,22.80,
Slovenia,21.90,22.50,20.90,
Slovakia,11.60,10.10,10.40,
Finland,38.70,36.70,34.40,
Sweden,52.60,52.00,51.10,
UK,7.00,5.60,4.60,
Iceland,71.10,71.30,72.30,
Norway,69.20,66.70,65.90,
