sponsor,,,,,,,
original_title,"Daily smokers, Total, % of population aged 15+",,,,,,
original_indicator_code,doi: 10.1787/1ff488c2-en,,,,,,
title,Anteil täglicher Raucher,,,,,,
sdg,3,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der täglichen Raucher an der Gesamtbevölkerung,,,,,,
short_indicator_description$en,Share of daily Smokes out of total population,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Tägliche Raucher sind definiert als Personen, die 15 Jahre oder älter sind und die nach eigenen Angaben jeden Tag rauchen. Rauchen ist ein großer gesundheitlicher Risikofaktor für wenigstens zwei Hauptursachen frühzeitigen Sterbens - Kreislaufkrankheiten und Krebs. Rauchen erhöht das Risiko für Herzinfarkte, Schlaganfälle, Lungenkrebs sowie Krebs im Rachen- und Mundraum. Darüber hinaus ist Rauchen ein wesentlicher Faktor bei Atemwegserkrankungen.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"Daily smokers are defined as the population aged 15 years and over who are reporting to smoke every day. Smoking is a major risk factor for at least two of the leading causes of premature mortality - circulatory disease and cancer, increasing the risk of heart attack, stroke, lung cancer, and cancers of the larynx and mouth. In addition, smoking is an important contributory factor for respiratory diseases.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"10,15,20,25",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMG,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,10,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,22/10/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,"Information on data for Israel: http://oe.cd/israel-disclaimer, Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/",,,,,,
source$publisher,OECD,,,,,,
source$link,https://data.oecd.org/healthrisk/daily-smokers.htm,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Australia,12.8,,,,,,
Belgium,18.9,,,,,,
Brazil,11.3,,,,,,
Canada,14.9,,,,,,
Czech Republic,22.2,,,,,,
Denmark,17,,,,,,
Estonia,26,,,,,,
Finland,15.8,,,,,,
France,24.1,,,,,,
Germany,20.9,,,,,,
Iceland,11.4,,,,,,
Israel,16.2,,,,,,
Italy,19.7,,,,,,
Japan,19.3,,,,,,
Latvia,34.3,,,,,,
Lithuania,22.2,,,,,,
Luxembourg,15.3,,,,,,
Mexico,11.8,,,,,,
Netherlands,18.5,,,,,,
New Zealand,15.5,,,,,,
Norway,13,,,,,,
Russia,22,,,,,,
Slovenia,20.5,,,,,,
South Africa,19.8,,,,,,
South Korea,19.9,,,,,,
Spain,23.9,,,,,,
Sweden,10.7,,,,,,
Switzerland,20.4,,,,,,
Turkey,23.8,,,,,,
UK,20,,,,,,
USA,13.7,,,,,,
