sponsor,,,,,,,
original_title,Alcohol consumption,,,,,,
original_indicator_code,,,,,,,
title,Alkoholkonsum,,,,,,
sdg,3,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Jährlicher Konsum von purer Alkohol in Litern pro Person ab 15 Jahre und älter,,,,,,
short_indicator_description$en,"Annual consumption of pure alcohol in liters per person, age 15 and older.",,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Jährlicher Alkoholkonsum is definiert anhand der jährlichen Verkaufszahlen puren Alkohols in Litern ab 15 Jahre und älter. Alkoholkonsum wird unter anderem asoziiert mit einer Anzahl an negativen Konsequenzen für Gesundheit und soziales Umfeld; unter anderem erhöhtes Risiko für Krebs,Schlaganfälle oder Leberzirrhose. Indicator is based on the data of the Global Information System on Alcohol and Health (GISAH) and published surveys.Health consequences of alcoholconsumption were GISAH, a 20112 Global Survey on Alcohol and Health, the Global Burden of Disease estimates for 2010 and further related literature.",,,,,,
long_indicator_description$de$baseunit,Liter/Jahr/Person,,,,,,
long_indicator_description$en$text,"Alcohol consumption is defined as annual sales of pure alcohol in litres per person aged 15 years and older. Alcohol use is associated with numerous harmful health and social consequences, including an increased risk of a range of cancers, stroke and liver cirrhosis. Indicator is based on the data of the Global Information System on Alcohol and Health (GISAH) and published surveys.Health consequences of alcoholconsumption were GISAH, a 20112 Global Survey on Alcohol and Health, the Global Burden of Disease estimates for 2010 and further related literature.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"2.5,5,7.5,10",,,,,,
target$baseunit,,,,,,,
target$tags,social,,,,,,
target$ministerial_responsibility,BMG,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,"2,50",,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,29/09/2015,,,,,,
scoring$timestamp_data_host,2013,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,Disclaimer and Terms and Conditions: ht://www.oecd.org/termsandconditions/,,,,,,
source$publisher,OECD,,,,,,
source$link,https://data.oecd.org/healthrisk/alcohol-consumption.htm,,,,,,
source$value,SDSN,,,,,,
source$type,official,,,,,,
countries,,,,,,,
,2013,2011,2012,2014,2015,2016,2017
Australia,9.9,,,,,,
Austria,12.2,,,,,,
Belgium,9.8,,,,,,
Brazil,7.3,,,,,,
Canada,8.1,,,,,,
China (People's Republic of),5.8,,,,,,
Czech Republic,11.6,,,,,,
Denmark,9.3,,,,,,
Estonia,12.2,,,,,,
Finland,9.3,,,,,,
France,11.7,,,,,,
Germany,11.2,,,,,,
Greece,7.4,,,,,,
Hungary,11.1,,,,,,
Iceland,6.3,,,,,,
India,2.6,,,,,,
Ireland,11.5,,,,,,
Israel,2.6,,,,,,
Italy,6.1,,,,,,
Japan,7.2,,,,,,
Latvia,10.2,,,,,,
Lithuania,14.4,,,,,,
Luxembourg,11.3,,,,,,
Mexico,5.7,,,,,,
Netherlands,-1,,,,,,
New Zealand,9.2,,,,,,
Norway,6.2,,,,,,
Poland,10.2,,,,,,
Portugal,10.3,,,,,,
Russia,11.2,,,,,,
Slovakia,10.1,,,,,,
Slovenia,11,,,,,,
South Africa,8.1,,,,,,
South Korea,9.1,,,,,,
Spain,9.8,,,,,,
Sweden,7.3,,,,,,
Switzerland,9.9,,,,,,
Turkey,1.6,,,,,,
UK,9.7,,,,,,
USA,8.8,,,,,,
