sponsor,,,,,,,
original_title,In Work Poverty Rate,,,,,,
original_indicator_code,,,,,,,
title,Armutsrate trotz Erwerbstätigkeit,,,,,,
sdg,1,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,"Anteil der Vollzeiterwerbstätigen, die einem Armutsrisiko ausgesetzt sind.",,,,,,
short_indicator_description$en,Share of full-time employees exposed to a threat of poverty,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Armutsrate trotz Erwerbstätigkeit bezeichnet den Prozentanteil von Personen in der Gesamtbevölkerung, die zur Arbeit gemeldet sind (angestellt oder selbstständig) und gleichzeitig an der Armutsgrenze sind. Die Armutsgrenze heißt hierbei ein verfügbares Einkommen nach allen Abzügen von 60% des nationalen Mittelwertes.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
long_indicator_description$en$text,"In-work at-risk-of-poverty rate refers to the percentage of persons in the total population who declared to be at work (employed or self-employed) who are at-risk-of-poverty (i.e. with an equivalised disposable income below the risk-of-poverty threshold, which is set at 60 % of the national median equivalised disposable income (after social transfers)).",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"2,4,6,8",,,,,,
target$baseunit,,,,,,,
target$tags,"social, economic",,,,,,
target$ministerial_responsibility,BMAS,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,0,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,29/10/2015,,,,,,
scoring$timestamp_data_host,2014,,,,,,
scoring$type,national,,,,,,
source,,,,,,,
source$note,,,,,,,
source$publisher,Eurostat,,,,,,
source$link,http://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2014,2011,2012,2013,2015,2016,2017
Austria,5.6,,,,,,
Belgium,3.9,,,,,,
Bulgaria,8.1,,,,,,
Croatia,5.5,,,,,,
Cyprus,6.3,,,,,,
Czech Republic,3.3,,,,,,
Denmark,3.5,,,,,,
EU Average,6.7,,,,,,
Estonia,6.4,,,,,,
Finland,3.2,,,,,,
France,6.3,,,,,,
Germany,7.5,,,,,,
Greece,11.9,,,,,,
Hungary,5.2,,,,,,
Ireland,2.9,,,,,,
Italy,9.6,,,,,,
Latvia,6.8,,,,,,
Lithuania,6.8,,,,,,
Luxembourg,9.9,,,,,,
Malta,5.1,,,,,,
Netherlands,4.6,,,,,,
Poland,10,,,,,,
Portugal,9.1,,,,,,
Romania,14.8,,,,,,
Slovakia,5.2,,,,,,
Slovenia,5.5,,,,,,
Spain,10.2,,,,,,
Sweden,6.2,,,,,,
UK,6.2,,,,,,
