original_title,Refugees and asylum applications accepted
original_indicator_code,
title_German,Flüchtlinge und kürzlich genehmigte Asylanträge
sdg,10
short_indicator_description,
short_indicator_description$de,Anzahl der Flüchtlinge in einem Land plus im vergangenen Jahr genehmigte Asylanträge geteilt durch das Bruttoinlandsprodukt.
short_indicator_description$en,Number of refugees living in a country and the number of asylum applications accepted in the past year divided by the host country's gross domestic product.
long_indicator_description,
long_indicator_description$en$text,"This indicator measures to what extent a country accepts refugees in relation to its economic power. Taking into account the GDP means that the indicator allows for some comparison between countries. Nevertheless, when analysing time trends, one should be careful as the indicator does not contain any information on global migration developments or the total number of asylum seekers in the world. 
The indicator was developed by the Center for Global Development (CGD) in the context of the Commitment to Development Index (CDI) using a simplified version of the UNHCRs index and UNHCR data. The number of refugees include other 'persons of concern' as defined by the U.N. High Commissioner for Refugees (UNHCR). "
long_indicator_description$en$baseunit,persons/Dollar
long_indicator_description$de$text,"Dieser Indikator misst, wie viele Geflüchtete ein Land im Verhältnis zu seiner Wirtschaftskraft aufnimmt. So kann man gut verschiedene Länder vergleichen. Um Entwicklungen über einen längeren Zeitraum zu verfolgen sollte man allerdings zusätzliche Informationen bedenken, wie beispielsweise globale Flüchtlingsströme. So bildet dieser Indikator nicht ab, wie viele Flüchtlinge es weltweit aktuell gibt und wie viele davon von einem Land aufgenommen werden. 
Der Indikator wurde vom Center for Global Development (CGD) im Rahmen des Commitment to Development Index (CDI) entwickelt. Er beruht auf einer vereinfachten Version eines UNHCR Indizes und auf UNHCR Daten. Bei diesem Indikator werden auch die Personen einbezogen, die vom UN Hochkommissariat als besonders schutzbedürftig betrachtet werden. "
long_indicator_description$de$baseunit,Personen/dollar
target,
target$type,more
target$value,10
target$rating,"10, 8, 6, 4"
target$explanation$de,"Dies ist nur ein vorläufiger Optimalwert. Idealerweise sollte sich der Optimalwert an aktuellen Flüchtlingsströmen orientieren und so festgelegt werden, dass alle Flüchtlinge aufgenommen werden können. Deswegen sollte der Wert angesichts der Flüchtlingssituation von Experten überarbeitet werden. "
target$explanation$en,"This is only a preliminary optimal value. Ideally, the optimal value should be constructed based on current refugee flows, so that all refugees could be welcomed by a country. Therefore, the value should be revised by experts taking into account the current refugee situation. "
target$target_reference,
target$tags,"economic, social"
target$target,10.7
target$ministerial_responsibility,BAMF
target$other_relevant_SDGs,16
scoring,
scoring$timestamp,11/11/2016
scoring$type,national
scoring$timestamp_data_host,2015
source,
source$type,inofficial
source$note,"This indicator adds together the number of refugees living in a country and the number of asylum applications accepted in a recent year, all divided by the host country's gross domestic product."
source$publisher,UNHCR
source$link,http://www.unhcr.org/uk/global-trends-2015.html
source$value,OKF
source$maintainer,OKF
source$license,"Reproductions and translations are authorized, provided UNHCR is recognized as the source. "
countries,
,2015
Albania,0.01
Bahrain,0.01
