original_title,Marine protected areas,,,,,,
original_indicator_code,ER.MRN.PTMR.ZS,,,,,,
title_German,Marine Schutzgebiete,,,,,,
sdg,14,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Anteil der marinen Schutzgebiete an der landeseigenen marinen Wasserfläche,,,,,,
short_indicator_description$en,Share of marine protected areas of territorial waters,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$en$text,"This indicator is defined as the share of marine protected areas in the overall marine terrain, that is within a country’s national territory. “Marine protected areas” are defined as areas of intertidal or subtidal terrain--and overlying water and associated flora and fauna and historical and cultural features--that have been reserved by law or other effective means to protect part or all of the enclosed environment (Worldbank).",,,,,,
long_indicator_description$en$baseunit,%,,,,,,
long_indicator_description$de$text,"Dieser Indikator ist definiert als der Anteil der Meeresschutzgebiete eines Landes an der gesamten landeseigenen marinen Wasserfläche. Meeresschutzgebiete sind definiert als Gebiete, die durch Gezeiten teilweise von Wasser bedeckt sind, oder die permanent von Wasser bedeckt sowie das darüber liegend Wasser und die damit verbundene Flora und Fauna sowie historische und kulturelle Eigenheiten und die per Gesetz oder durch andere Maßnahmen ganz oder teilweise unter Schutz stehen.",,,,,,
long_indicator_description$de$baseunit,%,,,,,,
target,,,,,,,
target$type,more,,,,,,
target$value,50,,,,,,
target$rating,"50,40,20,30",,,,,,
target$explanation$de,"Der Optimalwert orientiert sich an den Vorreiterländern. Deutschland ist eines der Länder, die am besten abschneiden und hat so den Optimalwert bereits erreicht. ",,,,,,
target$explanation$en,The target value is based on best performing countries. Germany is one of these countries and has thus already reached the target value. ,,,,,,
target$target_reference,,,,,,,
target$tags,ecologic,,,,,,
target$target,14.2,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$other_relevant_SDGs,,,,,,,
scoring,,,,,,,
scoring$timestamp,2016/11/02,,,,,,
scoring$type,global,,,,,,
scoring$timestamp_data_host,2014,,,,,,
source,,,,,,,
source$type,inofficial,,,,,,
source$note,Marine protected areas are areas of intertidal or subtidal terrain--and overlying water and associated flora and fauna and historical and cultural features--that have been reserved by law or other effective means to protect part or all of the enclosed environment.,,,,,,
source$publisher,World Bank,,,,,,
source$link,http://data.worldbank.org/indicator/ER.MRN.PTMR.ZS/countries?display=default,,,,,,
source$value,OKF,,,,,,
source$maintainer,OKF,,,,,,
source$license,Open,,,,,,
countries,,,,,,,2017
,2014,,,,,,
Aruba,0,,,,,,
Andorra,0,,,,,,
Afghanistan,0,,,,,,
Angola,0.1,,,,,,
Albania,1.5,,,,,,
Arab World,5.488593328,,,,,,
United Arab Emirates,21,,,,,,
Argentina,8.9,,,,,,
Armenia,0,,,,,,
American Samoa,17.3,,,,,,
Antigua and Barbuda,1.4,,,,,,
Australia,48.5,,,,,,
Austria,0,,,,,,
Azerbaijan,0,,,,,,
Burundi,0,,,,,,
Belgium,56.1,,,,,,
Benin,0,,,,,,
Burkina Faso,0,,,,,,
Bangladesh,2.5,,,,,,
Bulgaria,15.3,,,,,,
Bahrain,7.6,,,,,,
"Bahamas, The",0.4,,,,,,
Bosnia and Herzegovina,8.3,,,,,,
Belarus,0,,,,,,
Belize,14.2,,,,,,
Bermuda,5.1,,,,,,
Bolivia,0,,,,,,
Brazil,20.5,,,,,,
Barbados,0.1,,,,,,
Brunei Darussalam,1.5,,,,,,
Bhutan,0,,,,,,
Botswana,0,,,,,,
Central African Republic,0,,,,,,
Canada,1.4,,,,,,
Central Europe and the Baltics,32.95269481,,,,,,
Switzerland,0,,,,,,
Channel Islands,,,,,,,
Chile,3.9,,,,,,
China,2.3,,,,,,
