original_title,Financial Secrecy Index
original_indicator_code,
title_German,Intransparenz der Finanzmärkte
sdg,16
short_indicator_description,
short_indicator_description$de,Beitrag eines Landes an der weltweiten Schattenfinanzwirtschaft
short_indicator_description$en,Contribution of a jurisdiction to financial secrecy worldwide
long_indicator_description,
long_indicator_description$en$text,"Financial secrecy allows for escaping from financial regulation, evading taxes, committing fraud and many more financial crimes. Illicit financial flows are estimated to be around US$ 1-1.6 trillion a year (as a reference: international aid flows amount around US$135 billion yearly). With the Financial Secrecy Index, secrecy jurisdictions (often called tax havens) can be identified. The index combines many dimensions, such as banking secrecy or promoting tax evasion (through tax credits for certain types of foreign capital income). Based on the logic that bigger financial centres have a higher responsibility to ensure financial transparency, secrecy scores are then weighted by offshore financial service activity to calculate the final index. The index ranks British Overseas Territories and Crown Dependencies separately. If all these jurisdictions were aggregated the UK would receive the highest rate for secrecy."
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"In einer Schattenwirtschaft kann man Finanzregulierungen entkommen, Steuern hinterziehen, Betrug oder Geldwäsche betreiben. Illegale Finanzflüsse werden auf 1-1,6 Trillionen US$ jährlich geschätzt (zum Vergleich: bei weltweiter Entwicklungshilfe handelt es sich um ca. 135 Milliarden US$). Der Schattenfinanzindex dient dazu, Orte mit hoher Geheimhaltung (Steueroasen) zu identifizieren. Der Index setzt sich aus vielen Indikatoren zusammen, beispielsweise Bankgeheimnis und die Förderung von Steuerhinterziehung (durch Steuergutschriften für bestimmte ausländische Kapitalerträge). Mit dem Argument, dass große Finanzmärkte eine größe Verantwortung haben Transparenz zu fördern, wird der Index mit ausländischen Finanzaktivitäten gewichtet. Der Financial Secrecy Index bewertet alle britischen überseeischen Gebiete und Gebiete, die der Britischen Krone unterstehen separat. Würde diese Gebiete aggregiert bewertet, so würde Großbritannien den höchsten Wert für Intransparenz erhalten. "
long_indicator_description$de$baseunit,Punkte
target,
target$type,less
target$value,20
target$rating,"20,35,50,65"
target$explanation$de,"Das Ranking orientiert sich an den Ländern, die am besten und am schlechtesten abschneiden. "
target$explanation$en,"The Ranking is based on the countries, which are currently best and worst performers. "
target$target_reference,
target$tags,"economic,social"
target$target,16.4
target$ministerial_responsibility,BMF
target$other_relevant_SDGs,8
scoring,
scoring$timestamp,27/11/2016
scoring$type,global
scoring$timestamp_data_host,2015
source,
source$type,inofficial
source$note,"The Financial Secrecy Index ranks jurisdictions according to their secrecy and the scale of their offshore finanical activities. A politically neutral ranking, it is a tool for understanding global financial secrecy, tax havens or secrecy jurisdictions, and illicit financial flows or capital flight."
source$publisher,Tax Justice Network
source$link,http://www.financialsecrecyindex.com/introduction/fsi-2015-results
source$value,OKF
source$maintainer,Tax Justice Network
source$license,CC BY-NC-SA 2.0 UK
countries,
,2015
Australia,43
Austria,54
Belgium,41
Brazil,52
Canada,46
Chile,54
China,54
Cyprus,50
Czech Republic,35
Denmark,31
Estonia,44
Finland,31
France,43
Germany,56
Greece,36
Hungary,36
Iceland,46
India,39
Ireland,40
Israel,53
Italy,35
Japan,58
Latvia,45
Luxembourg,55
Macedonia,66
Malta,50
Mexico,45
Netherlands,48
New Zealand,46
Norway,38
Poland,36
Portugal,39
Russia,54
Slovakia,50
Slovenia,34
South Africa,42
South Korea,44
Spain,33
Sweden,36
Switzerland,73
Turkey,64
UK,41
USA,60
