original_title,Prison Population
original_indicator_code,
title_German,Gefängnisinsassen
sdg,16
short_indicator_description,
short_indicator_description$de,Gefängnisinsassen pro 100.000 Einwohner
short_indicator_description$en,"Prison population per 100,000 inhabitants"
long_indicator_description,
long_indicator_description$en$text,"The proportion of the population that is imprisoned (per 100,000) is an indicator for the crime and the justice system of a country.  The indicator was proposed by the Sustainable Development Solutions Network and is a component of the Humen Development Index. Generally, a low prison population rate points to a low crime rate. Nevertheless, it is also possible that a the prison population is interlinked with the prison capacity or the detention policies of a country. Furthermore, prison population numbers do not yield any information about the conditions in prisons. For instance, Bosnia and Herzegovina has a comparatively low prison population rate, but the Council of Europe reported abuse of prisoners and understaffing in some prisons."
long_indicator_description$en$baseunit,"per 100,000 inhabitants"
long_indicator_description$de$text,"Die Gefangenenrate ist ein Indikator für die Kriminalität und das Rechtssystem eines Landes. Sie gibt an, welcher Anteil der Beölkerung (pro 100.000) in Haft ist, sowohl Verurteilte, als auch die, die auf ihr Gerichtsverfahren warten. Der Indikator wurde vom Sustainable Development Solutions Network vorgeschlagen und ist auch Bestandteil des Human Development Index. Generell weist eine geringe Gefangenenrate auf wenig Kriminalität hin. Dies kann aber auch irreführend sein, da die Gefängnisrate auch ein Zeichen für die Gefängniskapazität oder die 'Einsperrpolitik' eines Landes sein kann. Zusätzlich sagt die Insassenquote nichts über den Zustand der Gefängnisse aus. Zum Beispiel hat Bosnien und Herzegovina eine vergleichsweise geringe Quote, dafür  berichtet der Europarat aber von Misshandlungen von Gefangenen und Unterbesetzung in einigen Gefängnissen. "
long_indicator_description$de$baseunit,pro 100.000 Einwohner
target,
target$type,less
target$value,50
target$rating,"50,100,150,200"
target$explanation$de,Das Sustainable Development Solutions Network stuft eine Gefangenenrate unter 100 als nachhaltig und über 200 als nicht nachhaltig ein. Daraus erarbeiten wir einen Zielwert (sehr nachhaltig) von 50.
target$explanation$en,The Sustainable Development Solution Network proposes 100 as sustainable and 200 as not sustainable. Based on this the OKF proposes 50 as very sustainable
target$target_reference,http://unsdsn.org/wp-content/uploads/2016/02/160215-Preliminary-SDG-Index-and-SDG-Dashboard-working-paper-for-consultation.pdf
target$tags,social
target$target,16.1
target$ministerial_responsibility,BMJ
target$other_relevant_SDGs,
scoring,
scoring$timestamp,29/10/2016
scoring$type,national
scoring$timestamp_data_host,2013
source,
source$type,inofficial
source$note,
source$publisher,World Prison Brief
source$link,http://www.prisonstudies.org/highest-to-lowest/prison_population_rate?field_region_taxonomy_tid=14
source$value,Sustainable Development Solutions Network
source$maintainer,OKF
source$license,Free access
countries,
,2013
Norway,72
Australia,130
Switzerland,82
Netherlands,82
USA,716
Germany,79
New Zealand,192
Canada,118
Singapore,230
Denmark,73
Ireland,88
Sweden,67
Iceland,47
UK,148
South Korea,99
Hong Kong,128
Japan,51
Liechtenstein,24
Israel,223
France,98
Luxembourg,122
Belgium,108
Austria,98
Finland,58
Slovenia,66
Italy,106
Spain,147
Czech Republic,154
Greece,111
Brunei Darussalam,122
Qatar,60
Cyprus,106
Estonia,238
Saudi Arabia,162
Poland,217
Lithuania,329
Slovakia,187
Andorra,38
Malta,145
United Arab Emirates,238
Portugal,136
Chile,266
Hungary,186
Cuba,510
Bahrain,275
Kuwait,137
Croatia,108
Latvia,304
Argentina,147
Uruguay,281
Montenegro,208
Bahamas,444
Belarus,335
Romania,155
Libya,81
Oman,61
Russia,475
Bulgaria,151
Barbados,521
Palau,295
Antigua and Barbuda,403
Malaysia,132
Mauritius,202
Trinidad and Tobago,281
Panama,411
Lebanon,118
Venezuela,161
Costa Rica,314
Turkey,179
Kazakhstan,295
Seychelles,709
Mexico,210
Sri Lanka,132
Saint Kitts and Nevis,714
Iran,284
Azerbaijan,413
Serbia,142
Jordan,95
Grenada,424
Georgia,225
Brazil,274
Peru,202
Ukraine,305
Macedonia,122
Belize,476
Bosnia and Herzegovina,80
Armenia,164
Fiji,174
Thailand,398
Tunisia,199
Saint Vincent and the Grenadines,376
China,121
Dominica,391
Algeria,162
Albania,158
Jamaica,152
Saint Lucia,317
Ecuador,149
Colombia,245
Tonga,150
Suriname,186
Dominican Republic,240
Turkmenistan,224
Mongolia,287
Maldives,307
Samoa,228
"Palestine, State of",..
Indonesia,59
Botswana,205
Egypt,80
Paraguay,118
Gabon,196
Boliva,140
Moldova,188
El Salvador,422
Uzbekistan,152
Philippines,111
Syrian Arab Republic,58
South Africa,294
Iraq,110
Vietnam,145
Guyana,260
Cape Verde,267
Micronesia (Federated States of),80
Kyrgyzstan,181
Guatemala,105
Namibia,191
Timor-Leste,25
Morocco,220
Honduras,153
Vanuatu,76
Nicaragua,153
Tajikistan,130
Kiribati,114
India,30
Cambodia,106
Bhutan,135
Ghana,54
Lao People's Democratic Republic,69
Congo,31
Zambia,119
Sao Tome and Principe,128
Bangladesh,42
Equatorial Guinea,95
Nepal,48
Pakistan,39
Kenya,121
Swaziland,284
Angola,105
Myanmar,120
Rwanda,492
Nigeria,32
Cameroon,119
Yemen,55
Madagascar,87
Zimbabwe,129
Solomon Islands,55
Papua New Guinea,48
Tanzania (United Republic of),78
Comoros,16
Mauritania,45
Lesotho,121
Senegal,64
Uganda,97
Benin,75
Togo,64
Sudan,56
Haiti,96
Afghanistan,76
Djibouti,83
Côte d'Ivoire,34
Gambia,56
Ethiopia,136
Malawi,76
Liberia,46
Mali,36
Guinea-Bissau,..
Mozambique,65
Guinea,25
Burundi,72
Burkina Faso,28
Eritrea,..
Sierra Leone,52
Chad,41
Central African Republic,19
Congo (Democratic Republic of the),33
Niger,42
South Sudan,65
Tuvalu,120
