original_title,Regulatory Quality - Regulatory Impact Assessment,,,,,,,,,,,
original_indicator_code,,,,,,,,,,,,
title_German,Qualität der Gesetzgebung - Folgenabschätzung,,,,,,,,,,,
sdg,16,,,,,,,,,,,
short_indicator_description,,,,,,,,,,,,
short_indicator_description$de,"Dieser Indikator bewertet, inwiefern Gesetzesvorschläge im Voraus auf ihre Vor- und Nachteile überprüft werden",,,,,,,,,,,
short_indicator_description$en,Extent to which the impact of a law or regulation is assessed before its implementation. ,,,,,,,,,,,
long_indicator_description,,,,,,,,,,,,
long_indicator_description$en$text,"In order for new regulations to achieve their intended effects, protect its citizens, and promote growth, it is necessary to assess its potential impacts before its implementation. In this way, potential adverse effects can be detected and avoided. Of course, a thorough regulatory impact assessment is not a guarantee for perfect regulation, as not all effects can be predicted and not all findings will be considered in the political process. The indicator captures whether regulatory impact assessment is conducted systematically, transparently, in a high quality and with an adequate methodology. The OECD provides the indicator for primary laws and subordinate laws separately, but combines them in some visualisations. Following the OECD's example, 2030-Watch has calculated the average of the two measures, which captures Regulatory Impact Assessment in all regulations initiated in national parliaments across all policy areas. Regulatory Impact Assessment is one of three composite indicators developed by the OECD to measure regulatory quality, the other two indicators are stakeholder engagement and ex-post evaluation.",,,,,,,,,,,
long_indicator_description$en$baseunit,points,,,,,,,,,,,
long_indicator_description$de$text,"Damit neue Gesetze und politische Maßnahmen die beabsichtigte Wirkung erzielen, sollten die Folgen in Voraus berechnet werden. So können Vor- und Nachteile abgewogen werden und mögliche negative Folgen verhindert werden. Natürlich garantiert die bloße Durchführung von Folgenabschätzungen keine perfekte Gesetzgebung, weil nicht alle nicht alle Erkenntnisse im politischen Prozess berücksichtigt werden und weil einige Folgen vorhersehbar sind. Der Indikator misst, ob Folgenabschätzungen transparent, konsequent, qualitativ hochwertig und mit angemessener Methodik durchgeführt werden. Die OECD stellt den Indikator für Gesetze und Verordnungen getrennt bereit, kombiniert beide aber in einigen Visualisierungen. Daran nimmt sich 2030-Watch ein Beispiel und stellt hier den Mittelwert des Indikators für Gesetze und Verordnungen dar. Folgenabschätzung ist einer von drei OECD Indikatoren für die Qualität der Gesetzgebung, die anderen beiden sind Öffentlichkeitsbeteiligung und Ex-Post Evaluierung. ",,,,,,,,,,,
long_indicator_description$de$baseunit,Punkte,,,,,,,,,,,
target,,,,,,,,,,,,
target$type,more,,,,,,,,,,,
target$value,4,,,,,,,,,,,
target$rating,"4, 3, 2, 1",,,,,,,,,,,
target$explanation$de,Die OECD schlägt einen Zielwert von 4 vor. Dies ist der Maximalwert des Indikators. ,,,,,,,,,,,
target$explanation$en,"The OECD suggests a target of 4, which is the maximum value of the indicator.",,,,,,,,,,,
target$target_reference,http://www.oecd.org/std/OECD-Measuring-Distance-to-the%20SDGs-Target-Pilot-Study-web.pdf,,,,,,,,,,,
target$tags,"economic, social",,,,,,,,,,,
target$target,16.6,,,,,,,,,,,
target$ministerial_responsibility,BMI,,,,,,,,,,,
target$other_relevant_SDGs,,,,,,,,,,,,
scoring,,,,,,,,,,,,
scoring$timestamp,2016-12-17,,,,,,,,,,,
scoring$type,national,,,,,,,,,,,
scoring$timestamp_data_host,2014,,,,,,,,,,,
source,,,,,,,,,,,,
source$type,inofficial,,,,,,,,,,,
source$note,"Der Indikator wurde in einer OECD-Pilotstudie zur Messbarkeit der SDGs vorgeschlagen (""Measuring Distance to the SDGs Targets"")",,,,,,,,,,,
source$publisher,OECD,,,,,,,,,,,
source$link,http://stats.oecd.org/Index.aspx?QueryId=69796,,,,,,,,,,,
source$value,OKF,,,,,,,,,,,
source$maintainer,OKF,,,,,,,,,,,
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible. ,,,,,,,,,,,
countries,,,,,,,,,,,,
,2014,,,,,,,,,,,0.00
Australia,2.85,,,,,,,,,,,0.00
Austria,2.45,,,,,,,,,,,0.00
Belgium,2.31,,,,,,,,,,,0.00
Canada,2.95,,,,,,,,,,,0.00
Chile,0.49,,,,,,,,,,,0.00
Czech Republic,2.48,,,,,,,,,,,0.00
Denmark,1.15,,,,,,,,,,,0.00
Estonia,2.89,,,,,,,,,,,0.00
EU,3.28,,,,,,,,,,,0.00
Finland,1.46,,,,,,,,,,,0.00
France,1.96,,,,,,,,,,,0.00
Germany,2.59,,,,,,,,,,,0.00
Greece,1.07,,,,,,,,,,,0.00
Hungary,2.20,,,,,,,,,,,0.00
Iceland,1.04,,,,,,,,,,,0.00
Ireland,2.00,,,,,,,,,,,0.00
Israel,0.93,,,,,,,,,,,0.00
Italy,1.57,,,,,,,,,,,0.00
Japan,1.38,,,,,,,,,,,0.00
Korea,2.45,,,,,,,,,,,0.00
Luxembourg,1.62,,,,,,,,,,,0.00
Mexico,3.32,,,,,,,,,,,0.00
Netherlands,1.30,,,,,,,,,,,0.00
New Zealand,2.69,,,,,,,,,,,0.00
Norway,1.11,,,,,,,,,,,0.00
Poland,1.79,,,,,,,,,,,0.00
Portugal,0.74,,,,,,,,,,,0.00
Slovak Republic,2.21,,,,,,,,,,,0.00
Slovenia,1.97,,,,,,,,,,,0.00
Spain,1.88,,,,,,,,,,,0.00
Sweden,2.03,,,,,,,,,,,0.00
Switzerland,2.91,,,,,,,,,,,0.00
Turkey,0.98,,,,,,,,,,,
UK,3.4,,,,,,,,,,,
USA,2.73,,,,,,,,,,,
