original_title,Regulatory Quality - Stakeholder Engagement
original_indicator_code,
title_German,Qualität der Gesetzgebung - Öffentlichkeitsbeteiligung
sdg,16
short_indicator_description,
short_indicator_description$de,"Der Indikator beschreibt, ob beteiligte Parteien (Stakeholder) in die Entwicklung neuer Gesetze einbezogen werden"
short_indicator_description$en,Extent to which stakeholders are involved in the development of new regulations
long_indicator_description,
long_indicator_description$en$text,"In order for new regulations to be relevant to the citizens of a country, stakeholders should be consulted in the policy-making process. In this way, it can be ensured that regulations are formulated in a way that tackles the concerns of citizens appropriately. The indicator captures whether stakeholders are engaged transparently, in a high quality and with an adequate methodology. Of course, public consultations do not necessarily lead to regulations that incorporate all opinions, as views can be conflicting, or other aspects such as limited budgets may have to be considered. The OECD provides the indicator for primary laws and subordinate laws separately, but combines them in some visualisations in their reports. Following the OECD's example, 2030-Watch has calculated the average of the two measures, which captures Stakeholder Engagement in all regulations initiated in national parliaments across all policy areas. Stakeholder Engagement is one of three composite indicators developed by the OECD to measure regulatory quality, the other two indicators are Regulatory Impact Assessment and Ex-post Evaluation."
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"Damit neue Gesetze und politsche Maßnahmen relevant für Bürger sind, sollte die Öffentlichkeit bei politischen Entscheidungsprozessen beteiligt werden. Auf diese Weise kann sicher gestellt werden, dass neue Gesetze sich auf die Anliegen und Probleme der Öffentlichkeit beziehen. Partizipative Prozesse bewirken allerdings nicht, dass immer alle Meinungen berücksichtigt werden, da diese widersprüchlich sein können oder andere Faktoren wie Haushaltsbeschränkungen den Ausschlag geben können. Der Indikator misst, ob Öffentlichkeitsbeteiligung transparent, konsequent, qualitativ hochwertig und mit angemessener Methodik durchgeführt werden. Die OECD stellt den Indikator für Gesetze und Verordnungen getrennt bereit, kombiniert beide aber in einigen Visualisierungen. Daran nimmt sich 2030-Watch ein Beispiel und stellt hier den Mittelwert des Indikators für Gesetze und Verordnungen dar. Öffentlichkeitsbeteiligung ist einer von drei OECD Indikatoren für die Qualität der Gesetzgebung, die anderen beiden sind Folgenabschätzung und Ex-Post Evaluierung. "
long_indicator_description$de$baseunit,Punkte
target,
target$type,more
target$value,4
target$rating,"4, 3, 2, 1"
target$explanation$de,Die OECD schlägt einen Zielwert von 4 vor. Dies ist der Maximalwert des Indikators. 
target$explanation$en,"The OECD suggests a target of 4, which is the maximum value of this indicator. "
target$target_reference,http://www.oecd.org/std/OECD-Measuring-Distance-to-the%20SDGs-Target-Pilot-Study-web.pdf
target$tags,"economic, social"
target$target,16.7
target$ministerial_responsibility,BMI
target$other_relevant_SDGs,
scoring,
scoring$timestamp,2016-12-17
scoring$type,national
scoring$timestamp_data_host,2014
source,
source$type,inofficial
source$note,"Der Indikator wurde in einer OECD-Pilotstudie zur Messbarkeit der SDGs vorgeschlagen (""Measuring Distance to the SDGs Targets"")"
source$publisher,OECD
source$link,http://stats.oecd.org/Index.aspx?QueryId=69796
source$value,OKF
source$maintainer,OKF
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible. 
countries,
,2014
Australia,2.72
Austria,1.31
Belgium,2.16
Canada,3.02
Chile,1.46
Czech Republic,2.58
Denmark,2.07
Estonia,2.80
EU,2.46
Finland,2.33
France,2.08
Germany,2.06
Greece,1.89
Hungary,1.23
Iceland,1.64
Ireland,0.82
Israel,0.88
Italy,1.46
Japan,1.34
Korea,2.40
Luxembourg,1.49
Mexico,3.45
Netherlands,1.32
New Zealand,2.53
Norway,1.95
Poland,2.58
Portugal,1.23
Slovak Republic,2.94
Slovenia,2.79
Spain,1.57
Sweden,2.00
Switzerland,2.62
Turkey,2.06
UK,2.91
USA,3.18
