original_title,Quality of ODA (QuODA) - Reducing Burden
original_indicator_code,rb2012
title_German,Wirksamkeit der Entwicklungshilfe - Reduktion der administrativen Belastung der Partnerländer
sdg,17
short_indicator_description,
short_indicator_description$de,"Dieser Indikator misst inwiefern Entwicklungsländer bei Berichtspflichten für Projekte entlastet werden z.B. durch weniger und größere Projekte, wodurch effizienter inhaltlich gearbeitet werden kann."
short_indicator_description$en,"This indicator rewards donors who decrease fragmentation, increase project size, contribute to multilaterals, coordinate their missions and analytical work, and use higher shares of program-based aid."
long_indicator_description,
long_indicator_description$en$text,"Achieving the SDGs will require high financial resources, both in doner and recipient countries of development aid. As resources are limited, it is crucial to use the money effectively and efficiently and to reduce the administrative burden on partner countries. As a result of the Aid Effectiveness Debate of the past 15 years, the necessary conditions for more efficient development aid were clearly named. The German Federal Government has committed itself to maximising efficiency in development aid. This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses six criteria to assess to what extent the development cooperation of a country maximises its efficiency. The six criteria are: 1) Significance of aid relationships, 2) Fragmentation across donor agencies, 3) Median project size, 4) Contribution to multilaterals, 5) Coordinated missions, Coordinated analytical work and 6) Use of programmatic aid. The data is from an aid effectiveness survey from 2011. The indicator reflects the extent to which a country's behaviour is different from the mean of all countries (z-score). "
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"Die Umsetzung der SDGs wird viele Finanzmittel beanspruchen, sowohl bei uns, als auch in den sogenannten Entwicklungsländern. Da die Haushaltsmittel aller Länder jedoch begrenzt sind, ist es von zentraler Bedeutung, das die aufgewendeten Mittel möglichst effektiv und effizient genutzt werden, das heißt mit möglichst geringem administrativen Aufwand. Im Rahmen der Aid Effectiveness Debatte der letzten 15 Jahre sind die Bedingungen für eine effiziente Entwicklungszusammenarbeit (EZ) klar benannt worden. Die Bundesregierung hat sich im Rahmen mehrerer internationaler Konferenzen wiederholt zur Umsetzung der Prinzipien effizienter EZ verpflichtet. Der QUODA Index operationalisiert diese Erkenntnisse und macht die Umsetzung dieser Selbstverpflichtungen messbar. Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von sechs Kriterien, inwiefern die Entwicklungszusammenarbeit (EZ) eines Landes effizient ist. Die sechs Kriterien sind: 1) Relevanz des Geldgebers für ein Partnerland, 2) Fragmentierung der EZ in unterschiedliche Durchführungsorganisationen, 3) Durchschnittliches Finanzvolumen eines Projektes, 4) Anteil der offiziellen Entwicklungshilfe (Official Development Aid - ODA) an multilaterale Organisationen, 5) Grad der Koordinierung von EZ Maßnahmen mit anderen Gebern und 6) Anteil der ODA für Programm-basierte Maßnahmen. Die Daten wurden bereits 2011 erhoben. Der Indikator zeigt inwiefern jedes Land vom Mittelwert aller Länder abweicht (z-score). "
long_indicator_description$de$baseunit,Punkte
target,
target$type,more
target$value,0.5
target$rating,"0.5,0.15,-0.15,-0.5"
target$explanation$de,"Der Optimalwert orientiert sich an Ländern, die am besten abschneiden. Da das Rating eines Landes von dem Verhalten anderer Länder abhängt, sollte man den Optimalwert hier nur nutzen um Länder untereinander zu vergleichen, nicht um die Wert eines Landes in verschieden Jahren zu vergleichen. "
target$explanation$en,"The optimal value is based on the best performing countries. Since the rating of one country is dependent on the performance of all countries, the optimal value should be used for comparisons over time. "
target$target_reference,
target$tags,"economic,social,ecologic"
target$target,
target$ministerial_responsibility,BMZ
target$other_relevant_SDGs,
scoring,
scoring$timestamp,06/11/2016
scoring$type,international
scoring$timestamp_data_host,2012
source,
source$type,inofficial
source$note,Reducing Burden recognizes that the administrative burdens placed on recipient countries make aid less effective. A growing number of projects with a trend of decreasing project sizes have created a burden of increased reporting and monitoring requirements on recipient governments.
source$publisher,"Center for Global Development, Quality of ODA"
source$link,http://www.cgdev.org/page/quality-oda-quoda
source$value,OKF
source$maintainer,inofficial
source$license,
countries,
,2012
Australia,-0.10203
Austria,-0.11545
Belgium,-0.58573
Canada,-0.17043
Denmark,0.44128
Estonia,0.189532
Finland,0.004023
France,-0.40713
Germany,-0.24465
Greece,0.099753
Hungary,0.607059
Ireland,0.768281
Israel,-0.83753
Italy,-0.36363
Japan,-0.39854
Latvia,0.884061
Lithuania,0.074211
Luxembourg,0.074623
Netherlands,0.305161
New Zealand,0.611719
Norway,-0.45896
Portugal,0.389093
Russia,0.835285
South Korea,-0.81986
Spain,-0.05334
Sweden,0.209603
Switzerland,-0.68342
Turkey,-0.65952
UK,0.281052
USA,-0.84868
