original_title,Quality of ODA (QuODA) - Transparency and Learning
original_indicator_code,tl2012
title_German,Wirksamkeit der Entwicklungshilfe - Transparenz
sdg,17
short_indicator_description,
short_indicator_description$de,"Dieser Indikator misst inwiefern ein Geberland entwicklungspolitische Informationen und Erfahrungen mit Partnerländern teilt, um Planbarkeit und Lerneffekte zu erhöhen."
short_indicator_description$en,Indicator measures to what extent a country promotes transparency and learning in its international development cooperation.
long_indicator_description,
long_indicator_description$en$text,"Giving or receiving development aid can be a very complicated process, given the vast number of projects and initiatives that often run parallel in countries or regions. Sharing timely information enables donors to coordinate better with other donors and with recipient countries, to improve their planning, and to learn from actual experience. This indicator is an composite indicator developed by the Center for Global Development in the context of the Quality of Aid Index. It uses eight criteria to assess to what extent the development cooperation of a country maximises its efficiency through transparency and learning. The eight criteria are: 1) Membership in IATI (International Aid Transparency Initiative), 2) Implementation of IATI data reporting standards, 3) Recording of project title and descriptions, 4) Detail of project description (log), 5) Reporting of aid delivery channel, 6) Completeness of project-level commitment data, 7) Quality of Evaluation policy and 8) Aid to partners with good M&E frameworks. The data is from an aid effectiveness survey from 2011. The indicator reflects the extent to which a country's behaviour is different from the mean of all countries (z-score). "
long_indicator_description$en$baseunit,points
long_indicator_description$de$text,"In vielen Ländern und Regionen gibt es gleichzeitig eine große Anzahl von Entwicklungsprojekten und -initiativen, sodass Entwicklungshilfe bekommen und empfangen zu einem sehr komplizierten Prozess werden kann. Deswegen ist es wichtig, Entwicklungszusammenarbeit so transparent wie möglich zu machen und aktuelle Informaitonen zu veröffentlichen. So können Entwicklungsprojekte besser abgestimmt und koordiniert werden und verschiedene Projekte können voneinander lernen. Dieser Indikator ist ein zusammengesetzter Indikator, der von dem Center for Global Development im Rahmen des Quality of Aid Indizes entwickelt wurde. Der Indikator misst anhand von acht Kriterien, inwiefern die Entwicklungszusammenarbeit (EZ) eines Landes durch Transparenz effizient wird. Die acht Kriterien sind: 1) Mitgliedschaft in der International Aid Transparency Initiative (IATI), 2) Umsetzung des IATI Standards, 3) Veröffentlichung von Projekttiteln und -beschreibungen, 5) Berichterstattung zur Durchführungsorganisation, 6) Veröffentlichung von vollständigen Informationen auf Projektebene, 7) Qualität der Evaluierungspolicy eines Geberlandes sowie 8) Anteil der offiziellen Entwicklungshilfe (Official Development Aid - ODA) an Partnerländern mit guten Systemen für Monitoring und Evaluierung. Die Daten wurden bereits 2011 erhoben. Der Indikator zeigt inwiefern jedes Land vom Mittelwert aller Länder abweicht (z-score). "
long_indicator_description$de$baseunit,Punkte
target,
target$type,more
target$value,0.4
target$rating,"0.4,0.15,-0.15,-0.4"
target$explanation$de,"Der Optimalwert orientiert sich an Ländern, die am besten abschneiden. Da das Rating eines Landes von dem Verhalten anderer Länder abhängt, sollte man den Optimalwert hier nur nutzen um Länder untereinander zu vergleichen, nicht um die Wert eines Landes in verschieden Jahren zu vergleichen. "
target$explanation$en,"The optimal value is based on the best performing countries. Since the rating of one country is dependent on the performance of all countries, the optimal value should be used for comparisons over time. "
target$target_reference,
target$tags,"economic,social,ecologic"
target$target,more
target$ministerial_responsibility,BMZ
target$other_relevant_SDGs,16
scoring,
scoring$timestamp,06/11/2016
scoring$type,international
scoring$timestamp_data_host,2012
source,
source$type,inofficial
source$note,"We include one indicator, membership in the International Aid Transparency Initiative, to measure donors' high-level commitment to collecting and reporting data that is useful and easily accessible, and a new indicator that rewards donors for starting to report IATI-compliant information. We then assess how well donors are doing this by measuring their frequency of recording project titles and descriptions, detail of project descriptions, reporting of aid delivery channels, and overall share of projects reporting disbursements. We also measure how closely donors' project-level reporting data matches their commitment data. Finally, we assess agencies' evaluation policies as an indication of their commitment to evaluation and learning, and the extent to which donors support recipient countries that have good M&E frameworks which enable them to track progress and learn from their experiences. Transparency and Learning reflects the importance of providing timely and comparative information about aid spending. Sharing timely information enables donors to coordinate better with other donors and with recipient countries, to improve their planning, and to learn from actual experience."
source$publisher,"Center for Global Development, Quality of ODA"
source$link,http://www.cgdev.org/page/quality-oda-quoda
source$value,OKF
source$maintainer,OKF
source$license,
countries,
,2012
Australia,0.283
Austria,-0.303
Belgium,-0.518
Canada,0.592
Denmark,0.212
Estonia,-0.07837
Finland,0.185
France,-0.244
Germany,0.126
Greece,-0.931
Hungary,-0.29922
Ireland,0.565
Israel,-0.04086
Italy,-0.754
Japan,-0.074
Latvia,-0.56527
Lithuania,-0.06419
Luxembourg,-0.974
Netherlands,0.026
New Zealand,-0.114
Norway,0.303
Portugal,-0.602
Russia,0.685752
South Korea,-0.207
Spain,0.102
Sweden,0.278
Switzerland,0.257
Turkey,-0.16286
UK,0.047
USA,0.15
