original_title,Alcohol consumption,
original_indicator_code,,
title_German,Alkoholkonsum,
sdg,3,
short_indicator_description,,
short_indicator_description$de,Jährlicher Konsum von purem Alkohol in Litern pro Person ab 15 Jahre und älter,
short_indicator_description$en,"Annual consumption of pure alcohol in liters per person, age 15 and older.",
long_indicator_description,,
long_indicator_description$en$text,"Alcohol use is associated with numerous harmful health and social consequences, including an increased risk of a range of cancers, stroke and liver cirrhosis. In addition to direct effects, alcohol contributes to deaths and disabilities through accidents, assault, homicide and suicide. Indicator is based on the data of the Global Information System on Alcohol and Health (GISAH) and published surveys. A potential limitation to this indicator is that it only tells us how much a population drinks on average, there is no information on drinking behaviour, such as binge drinking or alcoholism. ",
long_indicator_description$en$baseunit,liter/year/person,
long_indicator_description$de$text,"Alkoholkonsum wird mit einer Anzahl an negativen Konsequenzen für Gesundheit und soziales Umfeld asoziiert. Zu negativen Folgen von Alkoholkonsum zählen unter anderem erhöhtes Risiko für Krebs,Schlaganfälle oder Leberzirrhose. Zusätzlich trägt Alkohol zu vielen Todes- und Krankheitsfällen bei, da es ein wichtiger Faktor bei Unfällen, Misshanldung, Mord und Suizid sein kann. Der Indikator basiert auf Daten des Global Information System on Alcohol and Health (GISAH, Globales Informationssystem für Alkohol und Gesundheit) und weiteren Umfragen. Ein möglicher Nachteil dieses Indikators ist, dass er uns nur Informationen darüber enthält, wieviel eine Bevölerung durchschnittlich trinkt. Er informiert nicht über Trinkverhalten, wie beispielsweise Komatrinken oder Alkoholismus. ",
long_indicator_description$de$baseunit,Liter/Jahr/Person,
target,,
target$type,less,
target$value,2.5,
target$rating,"2.5,5,7.5,10",
target$explanation$de,"Der Optimalwert orientiert sich an den Ländern, die am besten abschneiden. ",
target$explanation$en,The optimum value is based on the best performing countries. ,
target$target_reference,,
target$tags,social,
target$target,less,
target$ministerial_responsibility,BMG,
target$other_relevant_SDGs,,
scoring,,
scoring$timestamp,20/11/2016,
scoring$type,national,
scoring$timestamp_data_host,2013,
source,,
source$type,official,
source$note,,
source$publisher,OECD,
source$link,https://data.oecd.org/healthrisk/alcohol-consumption.htm,
source$value,SDSN,
source$maintainer,OKF,
source$license,Disclaimer and Terms and Conditions: ht://www.oecd.org/termsandconditions/,
countries,,
,2014,2013
Australia,9.9,9.9
Austria,12.3,12.2
Belgium,12.6,9.8
Brazil,7.3,7.3
Canada,8,8.1
China,5.8,5.8
Czech Republic,11.9,11.6
Denmark,9.3,9.3
Estonia,11.7,12.2
Finland,8.8,9.3
France,11.5,11.7
Germany,11.2,11.2
Greece,7.5,7.4
Hungary,11.1,11.1
Iceland,7.5,6.3
India,2.6,2.6
Ireland,11,11.5
Israel,2.6,2.6
Italy,7.6,6.1
Japan,7.1,7.2
Latvia,10.2,10.2
Lithuania,14.4,14.4
Luxembourg,11.3,11.3
Mexico,5.5,5.7
Netherlands,8.4,8.7
New Zealand,9.1,9.2
Norway,6.1,6.2
Poland,10.5,10.2
Portugal,9.9,10.3
Russia,13.8,11.2
Slovakia,10.1,10.1
Slovenia,10.9,11
South Africa,8.1,8.1
South Korea,9,9.1
Spain,9.8,9.8
Sweden,7.2,7.3
Switzerland,9.5,9.9
Turkey,1.5,1.6
UK,9.4,9.7
USA,8.8,8.8
