sponsor,,
original_title,Freshwater withdrawals,
original_indicator_code,ER.H2O.FWTL.K3,
title_German,Frischwasserverbrauch,
sdg,6,
short_indicator_description,,
short_indicator_description$de,Jährlicher Frischwasserverbrauch pro Kopf,
short_indicator_description$en,Annual freshwater withdrawal per capita,
long_indicator_description,,
long_indicator_description$de$text,"In SDG Unterziel 6.4 wird angestrebt, die Effizienz von Frischwasserverbrauch zu erhöhen, um Mangel zu vermeiden und Frischwasser für die gesamte Weltbevölkerung zugänglich zu machen. Jährlicher Frischwasserverbrauch ist der Wasserverbrauch in Kubikmeter pro Kopf für landwirtschaftlichen, industriellen und privaten Verbrauch (Verdunstungen in Wasserbecken bleiben ungezählt). Der Verbrauch beinhaltet auch Wasser von Entsalzungsanlagen in Ländern wo diese eine wesentliche Wasserquelle sind. Weltweit wird extrem viel Frischwasser in der Landwirtschaft verbraucht, sodass dies ein wichtiger Bereich ist, in dem die Wassereffizienz erhöht werden muss. ",
long_indicator_description$de$baseunit,m3 / Kopf,
long_indicator_description$en$text,"According to SDG target 6.4, the efficiency of freshwater use needs to be increased in order to reduce water scarcity and ensure freshwater access for all. Annual freshwater withdrawals refer to total water withdrawals in cubic meter per capita, combining industrial, agricultural and private use, but not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Much of the freshwater worldwide is used for agriculture, so reducing freshwater use in this area is particularly important.  ",
long_indicator_description$en$baseunit,m3 / capita,
target,,
target$type,less,
target$value,200,
target$rating,"200,400,600,800",
target$explanation$de,"Der Optimalwert orientiert sich an den Ländern, die aktuell am besten abschneiden. ",
target$explanation$en,The target value is assessed based on the currently best-performing countries. ,
target$target_reference,,
target$tags,ecologic,
target$target,6.4,
target$ministerial_responsibility,BMUB,
target$other_relevant_SDGs,"2,15",
scoring,,
scoring$timestamp,28/10/2016,
scoring$type,global,
scoring$timestamp_data_host,2014,
source,,
source$type,inofficial,
source$note,"Annual freshwater withdrawals refer to total water withdrawals, not counting evaporation losses from storage basins. Withdrawals also include water from desalination plants in countries where they are a significant source. Withdrawals can exceed 100 percent of total renewable resources where extraction from nonrenewable aquifers or desalination plants is considerable or where there is significant water reuse. Withdrawals for agriculture and industry are total withdrawals for irrigation and livestock production and for direct industrial use (including withdrawals for cooling thermoelectric plants). Withdrawals for domestic uses include drinking water, municipal use or supply, and use for public services, commercial establishments, and homes. Data are for the most recent year available for 1987-2002.",
source$publisher,World Bank,
source$link,http://data.worldbank.org/indicator/ER.H2O.FWTL.K3,
source$value,OKF,
source$maintainer,OKF,
source$license,open ,
countries,,
,2014,2012
Australia,840.76,704.85
Austria,409.16,414.24
Belgium,534.96,539.62
Brazil,363.12,369.71
Canada,"1,091.71","1,116.41"
Croatia,149.61,156.83
Czech Republic,156.98,175.15
Denmark,115.61,116.60
Estonia,"1,309.33","1,233.09"
Finland,"1,201.04",0.00
France,456.60,460.54
Germany,408.46,410.81
Greece,878.83,0.00
Hungary,512.18,509.15
Iceland,"9,191.40","11,134.46"
Ireland,164.11,165.04
Israel,237.85,0.00
Italy,876.32,902.76
Japan,640.67,638.52
Latvia,124.50,127.91
Lithuania,215.54,211.33
Luxembourg,77.51,83.81
Netherlands,636.04,639.81
New Zealand,"1,153.29","1,179.87"
Norway,589.12,0.00
Poland,302.14,301.60
Portugal,880.12,0.00
Russia,424.14,0.00
Slovakia,103.22,123.03
Slovenia,560.56,451.16
Spain,804.88,798.54
Sweden,277.52,282.48
Switzerland,244.80,250.72
Turkey,553.26,566.94
UK,127.33,128.95
USA,"1,522.94","1,545.95"
