sponsor,,,,,,,
original_title,"Fish species, threatened",,,,,,
original_indicator_code,EN.FSH.THRD.NO,,,,,,
title,Anzahl gefährdete Fischarten,,,,,,
sdg,14,,,,,,
short_indicator_description,,,,,,,
short_indicator_description$de,Dieser Indikator misst die Anzahl der bedohten Fischarten in einem Land.,,,,,,
short_indicator_description$en,Indicator measures the absolute number of fish species threatened by extinction.,,,,,,
long_indicator_description,,,,,,,
long_indicator_description$de$text,"Dieser Indikator misst die Anzahl der bedrohten Fischarten in einem Land. Die Bezeichnung der Fischarten basiert auf der Arbeit von Froese, R. und Pauly, D. (eds) 2008. Die Festlegung einer Fischart als “bedroht” beruht auf der Klassifizierung durch die International Union for Conservation of Nature (IUCN) für den Gefährdungsstatus einer Spezies.",,,,,,
long_indicator_description$de$baseunit,Stück,,,,,,
long_indicator_description$en$text,"This indicator measures the absolute number of fish species in a land. The determination of fish species relies on Froese, R. und Pauly, D. (eds) 2008. The assessment of a fish species as threatened is based on the classification of the International Union for Conservation of Nature (IUCN) for the status of a given species.",,,,,,
long_indicator_description$en$baseunit,,,,,,,
target,,,,,,,
target$rating,"10,20,40,80",,,,,,
target$baseunit,,,,,,,
target$tags,ecologic,,,,,,
target$ministerial_responsibility,BMUB,,,,,,
target$explanation$de,,,,,,,
target$explanation$en,,,,,,,
target$value,0,,,,,,
target$type,less,,,,,,
target$target_reference,,,,,,,
target$target,,,,,,,
scoring,,,,,,,
scoring$maintainer,tbd,,,,,,
scoring$timestamp,02/10/2015,,,,,,
scoring$timestamp_data_host,2015,,,,,,
scoring$type,global,,,,,,
source,,,,,,,
source$note,"Fish species are based on Froese, R. and Pauly, D. (eds). 2008. Threatened species are the number of species classified by the IUCN as endangered, vulnerable, rare, indeterminate, out of danger, or insufficiently known.",,,,,,
source$publisher,World Bank,,,,,,
source$link,http://data.worldbank.org/indicator/EN.FSH.THRD.NO,,,,,,
source$value,OKF,,,,,,
source$type,inofficial,,,,,,
countries,,,,,,,
,2015,2011,2012,2013,2014,2016,2017
Afghanistan,5,,,,,,
Albania,39,,,,,,
Algeria,36,,,,,,
American Samoa,9,,,,,,
Andorra,0,,,,,,
Angola,40,,,,,,
Antigua and Barbuda,19,,,,,,
Arab Rep. Egypt,40,,,,,,
Argentina,37,,,,,,
Armenia,3,,,,,,
Aruba,15,,,,,,
Australia,106,,,,,,
Austria,11,,,,,,
Azerbaijan,10,,,,,,
Bahamas,30,,,,,,
Bahrain,9,,,,,,
Bangladesh,18,,,,,,
Barbados,21,,,,,,
Belarus,2,,,,,,
Belgium,11,,,,,,
Belize,31,,,,,,
Benin,28,,,,,,
Bermuda,16,,,,,,
Bhutan,3,,,,,,
Bolivia,0,,,,,,
Bosnia and Herzegovina,31,,,,,,
Botswana,2,,,,,,
Brazil,84,,,,,,
Brunei Darussalam,7,,,,,,
Bulgaria,19,,,,,,
Burkina Faso,4,,,,,,
Burundi,17,,,,,,
Cabo Verde,23,,,,,,
Cambodia,40,,,,,,
Cameroon,111,,,,,,
Canada,36,,,,,,
Cayman Islands,20,,,,,,
Central African Republic,3,,,,,,
Chad,1,,,,,,
Chile,20,,,,,,
China,122,,,,,,
Colombia,54,,,,,,
Comoros,7,,,,,,
Costa Rica,50,,,,,,
Cote d'Ivoire,47,,,,,,
Croatia,60,,,,,,
Cuba,35,,,,,,
Curacao,21,,,,,,
Cyprus,19,,,,,,
Czech Republic,2,,,,,,
Dem. Rep. Congo,84,,,,,,
Dem. Rep. Korea,14,,,,,,
Denmark,15,,,,,,
Djibouti,17,,,,,,
Dominica,20,,,,,,
Dominican Republic,22,,,,,,
Ecuador,52,,,,,,
El Salvador,14,,,,,,
Equatorial Guinea,29,,,,,,
Eritrea,20,,,,,,
Estonia,5,,,,,,
Ethiopia,14,,,,,,
Faeroe Islands,8,,,,,,
Fiji,13,,,,,,
Finland,6,,,,,,
France,46,,,,,,
French Polynesia,27,,,,,,
Gabon,62,,,,,,
Georgia,10,,,,,,
Germany,23,,,,,,
Ghana,44,,,,,,
Greece,76,,,,,,
Greenland,7,,,,,,
Grenada,20,,,,,,
Guam,9,,,,,,
Guatemala,26,,,,,,
Guinea,67,,,,,,
Guinea-Bissau,31,,,,,,
Guyana,28,,,,,,
Haiti,21,,,,,,
Honduras,30,,,,,,
Hong Kong,13,,,,,,
Hungary,9,,,,,,
Iceland,12,,,,,,
India,213,,,,,,
Indonesia,145,,,,,,
Iran,37,,,,,,
Iraq,17,,,,,,
Ireland,21,,,,,,
Isle of Man,2,,,,,,
Israel,37,,,,,,
Italy,47,,,,,,
Jamaica,22,,,,,,
