original_title,Gender Wage Gap,,,
original_indicator_code,,,,
title_German,Verdienstabstand zwischen Männern und Frauen,,,
sdg,5,,,
short_indicator_description,,,,
short_indicator_description$de,"Der Verdienstabstand ist der Unterschied mittleren Bruttoverdienstes von  Männer und Frauen, gemessen als % des Männerverdienstes",,,
short_indicator_description$en,"The gender wage gap is the difference between median male and female wages, measured as % of male income",,,
long_indicator_description,,,,
long_indicator_description$en$text,"The gender wage gap is calculated by taking the proportion of the median female wages of the median male wage (full-time employees and self-employed). For instance, a wage gap of 10% means that the median wage of women is at 90% of the male median wage. The gender wage gap is widely used to detect gender inequalities in the labour market. For instance, the European Commission argues that a wage gap points to discrimination and inequalities. ",,,
long_indicator_description$en$baseunit,%,,,
long_indicator_description$de$text,"Der Verdienstabstand wird erhoben, indem das Verhältnis zwischen Mittelwert (Median) des Männereinkommens und Fraueneinkommens berechnet wird (Vollzeitangestellte und Selbsständige). So bedeutet ein Verdienstabstand von 10%, dass das mittlere Einkommen von Frauen bei 90% von dem der Männer liegt. Der Verdienstabstand zwischen Männern und Frauen (auch geschlechterspezifisches Lohngefälle genannt) wird oft genutzt, um Ungleichheiten im Arbeitsmarkt zu erkennen. Zum Beispiel sagt die Europäischer Kommission, dass ein Lohngefälle auf Ungleichheit und Diskriminierung hinweist. ",,,
long_indicator_description$de$baseunit,%,,,
target,,,,
target$type,less,,,
target$value,7.5,,,
target$rating,"7.5,11, 14.5, 18",,,
target$explanation$de,"Das Sustainable Development Solutions Network der Vereinten Nationen schlägt einen Zielwert von 7,5% vor. ",,,
target$explanation$en,The Sustainable Development Solutions Network of the United Nations suggests a target value of 7.5%. ,,,
target$target_reference,https://www.bundesregierung.de/Content/DE/StatischeSeiten/Breg/Nachhaltigkeit/0-Buehne/2016-05-31-download-nachhaltigkeitsstrategie-entwurf.pdf?__blob=publicationFile&v=4,,,
target$tags,"economic, social",,,
target$target,,,,
target$ministerial_responsibility,BMFSJF,,,
target$other_relevant_SDGs,8,,,
scoring,,,,
scoring$timestamp,23/12/2016,,,
scoring$type,national,,,
scoring$timestamp_data_host,2014,,,
source,,,,
source$type,official,,,
source$note,"2015 data is only available for some countries, so that an international comparison is not possible yet. ",,,
source$publisher,OECD,,,
source$link,https://data.oecd.org/earnwage/gender-wage-gap.htm,,,
source$value,"GSS, SDSN",,,
source$maintainer,OKF,,,
source$license,The OECD supports free use and consultation of its data by the public. Information source must be cited. Download is feasible. ,,,
countries,,,,
,2014,2013,2012,2011
Australia,15.38,18.00,13.75,15.97
Austria,17.73,18.05,18.19,18.55
Belgium,3.30,5.91,6.41,5.84
Canada,19.23,19.30,19.51,19.18
Czech Republic,16.25,15.38,15.26,16.33
Denmark,,6.77,7.00,7.95
Finland,19.61,20.18,18.73,18.61
France,,,13.67,13.95
Germany,17.08,13.86,15.30,16.67
Greece,09.09,11.27,6.85,10.71
Hungary,3.77,8.72,11.33,6.86
Island,13.59,14.53,,14.08
Ireland,15.17,12.77,8.33,10.45
Italy,5.56,,11.11,
Japan,25.87,26.59,26.52,27.40
South Korea,36.65,36.60,36.30,36.56
New Zealand,06.08,6.59,5.91,4.53
Norway,6.28,07.01,6.41,7.78
Poland,11.07,,10.62,
Portugal,18.88,16.67,16.32,15.25
Slovakia,14.35,14.11,15.97,15.45
Spain,,,8.65,8.27
Sweden,,13.42,15.14,15.93
Switzerland,16.94,,19.34,
UK,17.38,17.48,17.78,18.25
USA,17.45,17.91,19.09,17.79
Chile,,16.67,,16.00
Israel,,,,21.83
MEX,18.30,15.43,13.56,10.00
